"","mean","sd","2.5%","50%","97.5%","Rhat","n.eff"
"N_ya[5]",3476.958,900.212,2180,3371,5354,4.49,14
"N_ya[6]",3007.666,510.974,2187,2940,4242,1.56,21
"N_ya[7]",2765.83,499.046,1793,2761,3716,1.1,17
"N_ya[8]",2212.898,730.319,735,2263,3422,3.37,19
"N_ya[9]",1979.37,776.99,564,1979,3418,3.94,20
"N_ya[10]",2318.947,663.157,1200.975,2206,3812.025,2.2,21
"N_ya[11]",2276.11,550.924,975,2353,3202,2.79,21
"N_ya[12]",2065.348,659.056,894,2051,3370,2.84,16
"N_ya[13]",1558.387,444.255,943,1478,2634,1.91,36
"N_ya[14]",1248.948,500.397,447,1213,2285,2.87,26
"N_ya[15]",1224.57,800.556,174,1028,2931,2.77,15
"N_ya[16]",1219.319,757.554,202,974,2911,2.66,16
"N_ya[17]",1145.783,663.364,176,979,2435,2.5,17
"N_ya[18]",992.13,509.428,276,922,2019,2.49,16
"N_ya[19]",1162.921,583.525,337,1032,2405,2.43,15
"N_ya[20]",965.837,565.189,262,736,2091,4.12,25
"N_ya[21]",1136.654,580.389,236.975,1090,2227,3.31,18
"N_ya[22]",1258.264,597.125,400,1284,2356,3.78,19
"N_ya[23]",1329.484,642.521,362,1142,2558,3.33,20
"N_ya[24]",1837.88,615.768,794,1692,2999,4.38,31
"N_ya[25]",1383.09,529.359,605,1313,2771.025,1.51,14
"N_ya[26]",1100.913,491.313,225,1098,2173.025,1.18,55
"N_ya[27]",836.132,419.208,185,779,1781,1.04,921
"N_ya[28]",660.657,364.817,127,600,1522,1.01,8143
"N_ya[29]",547.856,314.135,102,493,1307.025,1,24162
"N_ya[30]",463.841,274.02,84,413,1135,1,30458
"N_ya[31]",395.109,241.53,69,348,989.025,1,39848
"f[1]",0.361,0.086,0.162,0.368,0.507,3.27,19
"f[2]",0.383,0.131,0.114,0.386,0.626,1.11,35
"f[3]",0.357,0.104,0.13,0.363,0.541,1.15,20
"f[4]",0.319,0.078,0.179,0.32,0.503,1.46,24
"f[5]",0.619,0.07,0.462,0.62,0.757,1.15,34
"f[6]",0.219,0.082,0.097,0.209,0.425,1.11,23
"f[7]",0.355,0.063,0.249,0.346,0.504,1.07,33
"f[8]",0.586,0.072,0.453,0.582,0.724,1.08,34
"f[9]",0.485,0.083,0.325,0.484,0.643,1.31,33
"f[10]",0.59,0.089,0.432,0.591,0.794,1.15,29
"f[11]",0.388,0.091,0.182,0.395,0.547,1.33,22
"f[12]",0.337,0.067,0.222,0.333,0.468,1.34,33
"f[13]",0.529,0.084,0.383,0.525,0.707,1.3,42
"f[14]",0.46,0.08,0.323,0.453,0.634,1.09,44
"f[15]",0.38,0.097,0.168,0.385,0.559,1.09,27
"f[16]",0.299,0.089,0.146,0.295,0.485,1.51,44
"f[17]",0.497,0.083,0.338,0.489,0.666,1.18,60
"f[18]",0.357,0.107,0.175,0.354,0.617,1.41,29
"f[19]",0.457,0.096,0.291,0.456,0.649,1.63,36
"f[20]",0.446,0.084,0.279,0.448,0.601,1.09,47
"f[21]",0.482,0.084,0.324,0.48,0.657,1.22,58
"f[22]",0.64,0.082,0.48,0.637,0.795,1.15,59
"f[23]",0.665,0.082,0.507,0.666,0.828,1.05,60
"f[24]",0.498,0.088,0.341,0.493,0.682,1.11,44
"f[25]",0.428,0.088,0.276,0.418,0.612,1.04,47
"f[26]",0.39,0.14,0.116,0.39,0.667,1,80346
"f[27]",0.391,0.14,0.119,0.39,0.668,1,81000
"f[28]",0.39,0.14,0.119,0.39,0.667,1,81000
"f[29]",0.391,0.139,0.12,0.39,0.664,1,81315
"f[30]",0.392,0.14,0.119,0.391,0.669,1,81858
"phi_calf[1]",0.161,0.095,0.012,0.151,0.388,1.1,58
"phi_calf[2]",0.204,0.1,0.025,0.204,0.427,1.23,45
"phi_calf[3]",0.316,0.16,0.051,0.317,0.617,1.22,39
"phi_calf[4]",0.455,0.156,0.182,0.448,0.787,1.06,25
"phi_calf[5]",0.387,0.127,0.178,0.37,0.66,1.25,53
"phi_calf[6]",0.306,0.107,0.077,0.317,0.492,1.3,23
"phi_calf[7]",0.256,0.133,0.031,0.249,0.53,1.03,55
"phi_calf[8]",0.265,0.109,0.066,0.262,0.479,1.23,48
"phi_calf[9]",0.375,0.089,0.182,0.378,0.549,1.19,34
"phi_calf[10]",0.226,0.108,0.03,0.229,0.427,1.06,30
"phi_calf[11]",0.306,0.128,0.085,0.297,0.572,1.64,25
"phi_calf[12]",0.311,0.116,0.09,0.303,0.532,1.3,51
"phi_calf[13]",0.194,0.106,0.02,0.186,0.424,1.23,53
"phi_calf[14]",0.222,0.135,0.014,0.203,0.475,2.76,44
"phi_calf[15]",0.186,0.102,0.014,0.182,0.394,1.31,32
"phi_calf[16]",0.266,0.135,0.026,0.259,0.559,1.14,40
"phi_calf[17]",0.197,0.106,0.018,0.188,0.426,1.02,80
"phi_calf[18]",0.338,0.125,0.099,0.343,0.576,1.22,40
"phi_calf[19]",0.245,0.123,0.022,0.245,0.466,1.06,68
"phi_calf[20]",0.373,0.135,0.098,0.375,0.64,1.77,41
"phi_calf[21]",0.375,0.133,0.128,0.368,0.663,1.04,47
"phi_calf[22]",0.361,0.139,0.075,0.362,0.603,1.11,41
"phi_calf[23]",0.45,0.112,0.234,0.453,0.68,1.2,44
"phi_calf[24]",0.287,0.131,0.039,0.289,0.578,1.15,23
"phi_calf[25]",0.232,0.121,0.027,0.222,0.496,1.07,51
"phi_calf[26]",0.226,0.123,0.021,0.218,0.486,1,79599
"phi_calf[27]",0.226,0.123,0.021,0.218,0.486,1,80044
"phi_calf[28]",0.226,0.123,0.02,0.217,0.484,1,80883
"phi_calf[29]",0.227,0.123,0.021,0.218,0.488,1,81000
"phi_calf[30]",0.226,0.124,0.021,0.217,0.488,1,81527
"phi_oa[1]",0.703,0.13,0.437,0.704,0.949,1.06,221
"phi_oa[2]",0.709,0.12,0.507,0.696,0.932,1.07,53
"phi_oa[3]",0.614,0.122,0.37,0.618,0.844,1.14,41
