DOD,Month,Day,Year,LOCATION,Easting,Northing,SEX,AGE.CLASS,COD,WinterYear
2/5/00,2,5,2000,MCBRIDE LAKE,558676,4980925,UNKNOWN,UNKNOWN,PROBABLE WOLF,2000
2/5/00,2,5,2000,EVERTS MTN,527314,4980114,FEMALE,ADULT,PROBABLE WOLF,2000
3/1/00,3,1,2000,E OF MOM'S RIDGE,549837,4974952,UNKNOWN,UNKNOWN,DEFINITE WOLF,2000
3/8/00,3,8,2000,HELLROARING SLOPE,544257,4979351,FEMALE,OLD ADULT,PROBABLE WOLF,2000
3/19/00,3,19,2000,SW OF HELLROARING/YELL CONFLUENCE,542217,4979841,UNKNOWN,CALF,DEFINITE WOLF,2000
3/30/00,3,30,2000,WEST OF JUNCTION LAKE,547701,4976121,UNKNOWN,OLD ADULT,PROBABLE WOLF,2000
3/31/00,3,31,2000,SLOUGH CRK E OF CAMPGROUND RD,554278,4975617,MALE,ADULT,DEFINITE WOLF,2000
1/5/00,1,5,2000,SE OF YELL INSTITUTE BTWN ROAD AND LAMAR RIVER,560444,4970565,UNKNOWN,UNKNOWN,PROBABLE WOLF,2000
2/14/00,2,14,2000,SLOUGH CRK,553394,4975615,UNKNOWN,UNKNOWN,PROBABLE WOLF,2000
2/20/00,2,20,2000,NEAR CONFLUENCE OF LITTLE BUFFALO AND YELLOWSTONE RIVER,544544,4979165,UNKNOWN,UNKNOWN,PROBABLE WOLF,2000
3/11/00,3,11,2000,SE FACE OF BUFFALO PLATEAU,551946,4975322,FEMALE,OLD ADULT,PROBABLE WOLF,2000
3/14/00,3,14,2000,N OF BUFFALO FORD,549440,4974898,UNKNOWN,CALF,PROBABLE WOLF,2000
3/16/00,3,16,2000,E OF BUFFALO FORD,549784,4974585,FEMALE,OLD ADULT,PROBABLE WOLF,2000
3/16/00,3,16,2000,E OF BUFFALO FORD AND MOM'S RIDGE,549934,4974945,UNKNOWN,CALF,PROBABLE WOLF,2000
3/17/00,3,17,2000,1/3 MI E OF LAMAR/SLOUGH CONFLUENCE,552234,4973695,FEMALE,OLD ADULT,PROBABLE WOLF,2000
3/17/00,3,17,2000,1/3 MI E OF SLOUGH/LAMAR CONFLUENCE,552234,4973745,FEMALE,OLD ADULT,PROBABLE WOLF,2000
4/6/00,4,6,2000,N OF RD NEAR LAMAR/SB CONFLUENCE,563144,4968815,UNKNOWN,ADULT,PROBABLE WOLF,2000
4/15/00,4,15,2000,JUNCTION LAKE,548442,4975875,UNKNOWN,UNKNOWN,DEFINITE WOLF,2000
3/15/00,3,15,2000,E OS SODA BUTTE PULLOUT N SIDE OF ROAD,567494,4971265,MALE,ADULT,DEFINITE WOLF,2000
3/20/00,3,20,2000,2 FT N OF RD BY SODA BUTTE/LAMAR RIVER CONFLUENCE,563494,4968865,UNKNOWN,CALF,DEFINITE WOLF,2000
3/19/00,3,19,2000,NW OF DEN FOREST LAMAR,564893,4969880,MALE,ADULT,DEFINITE WOLF,2000
3/21/00,3,21,2000,E OF SLOUGH CRK PARKING LOT,554991,4974621,UNKNOWN,CALF,DEFINITE WOLF,2000
3/23/00,3,23,2000,W LAMAR CANYON BOWL,554432,4974917,FEMALE,OLD ADULT,DEFINITE WOLF,2000
3/22/00,3,22,2000,W LAMAR CANYON BOWL,555513,4974708,UNKNOWN,CALF,PROBABLE WOLF,2000
3/23/00,3,23,2000,W LAMAR CANYON BOWL,555544,4974715,UNKNOWN,CALF,DEFINITE WOLF,2000
4/6/00,4,6,2000,NW OF LAMAR/SODA BUTTE CONFLUENCE,563144,4968815,FEMALE,OLD ADULT,PROBABLE WOLF,2000
4/12/00,4,12,2000,NW OF PICNIC AREA IN LAMAR VALLEY,562194,4969875,FEMALE,ADULT,DEFINITE WOLF,2000
4/17/00,4,17,2000,S OF LAMAR RIVER X SODA BUTTE CONFLUENCE,564254,4967705,FEMALE,ADULT,DEFINITE WOLF,2000
2/9/00,2,9,2000,FLATS SW OF YELL INSTITUTE,559544,4971865,FEMALE,ADULT,PROBABLE WOLF,2000
4/20/00,4,20,2000,SLOUGH CRK FLATS,552379,4975197,FEMALE,ADULT,PROBABLE WOLF,2000
4/11/00,4,11,2000,NEAR TURKEY PEN,527560,4984054,FEMALE,OLD ADULT,PROBABLE WOLF,2000
3/2/00,3,2,2000,HELLROARING,542725,4981161,FEMALE,CALF,DEFINITE WOLF,2000
3/2/00,3,2,2000,AMETHYST,558710,4968527,MALE,ADULT,DEFINITE WOLF,2000
3/3/00,3,3,2000,LOWER HELLROARING SLOPE,544802,4979372,UNKNOWN,CALF,DEFINITE WOLF,2000
3/5/00,3,5,2000,PROSPECT PEAK,537985,4971906,MALE,ADULT,PROBABLE WOLF,2000
3/6/00,3,6,2000,S SLOPE FROM WRAITH FALLS PULLOVER; IN TIMBER,529935,4975486,MALE,ADULT,PROBABLE WOLF,2000
3/6/00,3,6,2000,LITTLE BUFFALO CRK,545241,4978613,FEMALE,OLD ADULT,DEFINITE WOLF,2000
3/4/00,3,4,2000,WEST HELLROARING,541517,4983634,MALE,ADULT,DEFINITE WOLF,2000
3/13/00,3,13,2000,SLIDE LAKE,519415,4985963,UNKNOWN,CALF,PROBABLE WOLF,2000
3/13/00,3,13,2000,SLOUGH CRK,562109,4980421,UNKNOWN,CALF,PROBABLE WOLF,2000
1/7/00,1,7,2000,S OF BISON PEAK,557703,4975558,MALE,ADULT,PROBABLE WOLF,2000
1/2/00,1,2,2000,SW OF SODA BUTTE CRK,566744,4969365,MALE,ADULT,PROBABLE WOLF,2000
1/15/00,1,15,2000,W OF BEAVER PONDS,521919,4983135,FEMALE,CALF,PROBABLE WOLF,2000
1/7/00,1,7,2000,SODA BUTTE CRK S OF BARONETTE,572354,4977085,FEMALE,OLD ADULT,DEFINITE WOLF,2000
1/13/00,1,13,2000,E OF BUFFALO RANCH; N OF ROAD,561044,4971065,FEMALE,OLD ADULT,PROBABLE WOLF,2000
1/27/00,1,27,2000,LAMAR - N OF ROAD B/W PICNIC AREA AND INSTITUTE,561864,4970135,UNKNOWN,CALF,PROBABLE WOLF,2000
1/25/00,1,25,2000,NEAR DRUID DEN IN LAMAR,565774,4969225,UNKNOWN,CALF,PROBABLE WOLF,2000
1/10/00,1,10,2000,AMETHYST CREEK AREA,558884,4974075,UNKNOWN,CALF,PROBABLE WOLF,2000
1/15/00,1,15,2000,W OF CONFLUENCE ON S BANK OF LAMAR RIVER,562984,4968705,UNKNOWN,CALF,PROBABLE WOLF,2000
1/26/00,1,26,2000,CONFLUENCE LAMAR X SODA BUTTE,564074,4967835,UNKNOWN,CALF,PROBABLE WOLF,2000
1/26/00,1,26,2000,AMETHYST CREEK,558408,4966810,MALE,ADULT,PROBABLE WOLF,2000
1/1/00,1,1,2000,MT NORRIS,565505,4967419,UNKNOWN,CALF,PROBABLE WOLF,2000
1/1/00,1,1,2000,WEST OF LOST LAKE,542535,4972050,MALE,ADULT,PROBABLE WOLF,2000
1/18/00,1,18,2000,BLACKTAIL DEER CRK AREA,532766,4980143,UNKNOWN,CALF,PROBABLE WOLF,2000
1/19/00,1,19,2000,HEAD OF AMETHYST CRK,556046,4965885,MALE,ADULT,PROBABLE WOLF,2000
1/20/00,1,20,2000,"BUFFALO FORK, N OF SLOUGH CREEK",554211,4979401,MALE,ADULT,PROBABLE WOLF,2000
1/22/00,1,22,2000,LOST LAKE,545364,4968830,UNKNOWN,UNKNOWN,PROBABLE WOLF,2000
3/14/00,3,14,2000,BLACKTAIL DEER CRK,532759,4981710,UNKNOWN,CALF,PROBABLE WOLF,2000
3/15/00,3,15,2000,GEODE CRK,537506,4981488,UNKNOWN,CALF,DEFINITE WOLF,2000
3/16/00,3,16,2000,MT EVERTS,528772,4980708,UNKNOWN,CALF,DEFINITE WOLF,2000
2/2/00,2,2,2000,E OF JUNCTION BUTTE,549014,4974715,UNKNOWN,CALF,PROBABLE WOLF,2000
2/10/00,2,10,2000,BETWN AMETHYST & JASPER CRK,559834,4971715,UNKNOWN,CALF,PROBABLE WOLF,2000
2/4/00,2,4,2000,N OF JASPER BENCH,557344,4973135,FEMALE,OLD ADULT,DEFINITE WOLF,2000
2/12/00,2,12,2000,S AT DOROTHY'S KNOLL,558634,4973215,FEMALE,ADULT,DEFINITE WOLF,2000
2/13/00,2,13,2000,ON RIVERBANK BISONS FLATS; S OF DOROTHY'S KNOLL,558264,4972615,FEMALE,OLD ADULT,DEFINITE WOLF,2000
2/14/00,2,14,2000,CONFLUENCE LAMAR R X SODA BUTTE CRK,564654,4969015,FEMALE,ADULT,DEFINITE WOLF,2000
2/15/00,2,15,2000,2 KM E OF LAMAR CANYON,558654,4973045,FEMALE,OLD ADULT,PROBABLE WOLF,2000
2/15/00,2,15,2000,ABOUT 2 KM E OF LAMAR CANYON,558794,4973165,UNKNOWN,CALF,PROBABLE WOLF,2000
2/26/00,2,26,2000,NE OF INSTITUTE; LAMAR,561594,4971705,UNKNOWN,CALF,PROBABLE WOLF,2000
2/26/00,2,26,2000,NE OF LAMAR RANGER STATION,561894,4971965,UNKNOWN,CALF,PROBABLE WOLF,2000
3/1/00,3,1,2000,NNW AT YELL INSTITUTE; LAMAR,559464,4973795,UNKNOWN,YEARLING,DEFINITE WOLF,2000
3/19/00,3,19,2000,.5 MI W OF RATTLESNAKE CRK,526868,4984506,FEMALE,ADULT,PROBABLE WOLF,2000
3/21/00,3,21,2000,E SIDE OF LAVA CRK,529126,4972307,MALE,ADULT,PROBABLE WOLF,2000
3/21/00,3,21,2000,HELLROARING X YELL RIVER,541460,4981281,FEMALE,ADULT,PROBABLE WOLF,2000
3/22/00,3,22,2000,HELLROARING,542105,4980789,UNKNOWN,CALF,PROBABLE WOLF,2000
3/22/00,3,22,2000,W LAMAR CANYON BOWL N OF RD,555853,4974535,FEMALE,OLD ADULT,PROBABLE WOLF,2000
3/16/00,3,16,2000,MT EVERTS,528792,4980616,MALE,ADULT,PROBABLE WOLF,2000
3/18/00,3,18,2000,SLIDE LAKE,518888,4985927,UNKNOWN,CALF,PROBABLE WOLF,2000
3/24/00,3,24,2000,GARNDER'S HOLE,517522,4978550,MALE,ADULT,DEFINITE WOLF,2000
3/24/00,3,24,2000,SLOUGH CRK,559486,4980746,MALE,ADULT,DEFINITE WOLF,2000
3/25/00,3,25,2000,GLENN CRK,519572,4978047,FEMALE,ADULT,DEFINITE WOLF,2000
3/25/00,3,25,2000,SPECIMEN RIDGE,552479,4969521,UNKNOWN,UNKNOWN,DEFINITE WOLF,2000
3/26/00,3,26,2000,W OF MOM'S RIDGE - JUNC BUTTE AREA,547270,4976577,FEMALE,OLD ADULT,PROBABLE WOLF,2000
3/27/00,3,27,2000,BELOW HELLROARING OVERLOOK,540889,4978360,FEMALE,OLD ADULT,PROBABLE WOLF,2000
3/24/00,3,24,2000,STEVENS CRK,519134,4986424,FEMALE,ADULT,PROBABLE WOLF,2000
3/27/00,3,27,2000,LITTLE AMERICA FLAT NEAR SPECIMEN RIDGE TH,548933,4972962,FEMALE,OLD ADULT,DEFINITE WOLF,2000
3/30/00,3,30,2000,E OF NORTH BUTTE,536129,4980559,UNKNOWN,CALF,DEFINITE WOLF,2000
4/1/00,4,1,2000,NW OF DOROTHY'S KNOLL-LAMAR VALLEY,560244,4974565,UNKNOWN,UNKNOWN,PROBABLE WOLF,2000
4/8/00,4,8,2000,OXBOW PLATEAU,537573,4979380,UNKNOWN,CALF,PROBABLE WOLF,2000
4/23/00,4,23,2000,N BANK OF LAMAR RIVER/E CONF W JASPER CRK,559094,4971465,UNKNOWN,UNKNOWN,PROBABLE WOLF,2000
4/27/00,4,27,2000,LAMAR; .5 MI W OF YI; N OF ROAD,559894,4972365,FEMALE,ADULT,PROBABLE WOLF,2000
1/31/00,1,31,2000,S OF PEREGRINE KNOLL; LITTLE AMERICA,550894,4973265,UNKNOWN,CALF,PROBABLE WOLF,2000
4/19/00,4,19,2000,N OF SLOUGH CRK FLATS,552414,4975175,FEMALE,ADULT,PROBABLE WOLF,2000
4/27/00,4,27,2000,NE OF OLD ROAD PULLOUT,559894,4972365,FEMALE,OLD ADULT,PROBABLE WOLF,2000
4/19/00,4,19,2000,N OF SODA BUTTE CRK X LAMAR RIVER CONFLUENCE,564184,4967995,FEMALE,OLD ADULT,PROBABLE WOLF,2000
4/17/00,4,17,2000,LAMAR VALLEY PICNIC AREA,562244,4969365,FEMALE,ADULT,PROBABLE WOLF,2000
4/25/00,4,25,2000,N OF SLOUGH CRK FLATS,551714,4976425,UNKNOWN,UNKNOWN,PROBABLE WOLF,2000
4/18/00,4,18,2000,N OF LAMAR RIVER,562244,4969385,FEMALE,OLD ADULT,PROBABLE WOLF,2000
11/2/00,11,2,2000,ANTELOPE CREEK FLATS,548344,4966906,MALE,ADULT,PROBABLE WOLF,2001
11/5/00,11,5,2000,NEAR JUNCTION OF SPECIMEN RIDGE & QUARTZ CRK TRAILS,551144,4970065,UNKNOWN,UNKNOWN,PROBABLE WOLF,2001
11/15/00,11,15,2000,300M E OF MOM'S RIDGE (N OF LAMAR/SLOUGH CRK CONFLUENCE),550249,4975610,UNKNOWN,CALF,PROBABLE WOLF,2001
11/16/00,11,16,2000,S OF JUNCTION BUTTE BY SPECIMEN TRAIL,548959,4972533,UNKNOWN,CALF,PROBABLE WOLF,2001
11/17/00,11,17,2000,LAMAR RIVER S OF CONFLUENCE EXCLOSURE,562868,4968759,UNKNOWN,CALF,PROBABLE WOLF,2001
11/18/00,11,18,2000,ON RIDGE N OF COYOTE PULLOUT,559189,4973890,UNKNOWN,CALF,PROBABLE WOLF,2001
11/19/00,11,19,2000,"LAMAR VALLEY N OF RIVER, SW OF RANGER STATION",559857,4971919,UNKNOWN,CALF,PROBABLE WOLF,2001
11/20/00,11,20,2000,LAMAR RIVER BED 200 M UPSTREAM FROM JUNCTION SLOUGH CRK,551701,4973831,FEMALE,ADULT,PROBABLE WOLF,2001
11/21/00,11,21,2000,"S OF JUNCTION BUTTE, N OF ROAD",548221,4973629,FEMALE,OLD ADULT,PROBABLE WOLF,2001
11/24/00,11,24,2000,LAMAR RIVER S OF JACKSON EXCLOSURE ON ICE,562725,4968782,FEMALE,ADULT,PROBABLE WOLF,2001
11/25/00,11,25,2000,"LITTLE AMERICA, W OF CRYSTAL CRK",552480,4972721,FEMALE,OLD ADULT,PROBABLE WOLF,2001
12/1/00,12,1,2000,LAMAR CANYON,556289,4973810,FEMALE,OLD ADULT,PROBABLE WOLF,2001
11/10/00,11,10,2000,MT NORRIS,567032,4967013,FEMALE,ADULT,PROBABLE WOLF,2001
11/15/00,11,15,2000,MT EVERTS,527165,4982207,FEMALE,ADULT,PROBABLE WOLF,2001
11/19/00,11,19,2000,MAMMOTH,523145,4982030,UNKNOWN,CALF,DEFINITE WOLF,2001
11/19/00,11,19,2000,BLACKTAIL PLATEAU,535074,4974696,MALE,ADULT,DEFINITE WOLF,2001
11/20/00,11,20,2000,LADY-OF-THE-LAKE,520991,4962098,FEMALE,OLD ADULT,PROBABLE WOLF,2001
11/22/00,11,22,2000,W FLANK OF SPECIMEN RIDGE,551242,4969470,FEMALE,ADULT,DEFINITE WOLF,2001
12/4/00,12,4,2000,LAMAR VALLEY S OF INSTITUTE,559642,4971466,FEMALE,OLD ADULT,PROBABLE WOLF,2001
12/5/00,12,5,2000,S PEREGRIN POINT; N OF ROAD,551429,4973033,UNKNOWN,CALF,PROBABLE WOLF,2001
12/18/00,12,18,2000,UPPER BLACKTAIL,537311,4976844,UNKNOWN,UNKNOWN,PROBABLE WOLF,2001
12/18/00,12,18,2000,LITTLE DONAHUE CRK BENCH,508867,5014445,UNKNOWN,CALF,PROBABLE WOLF,2001
12/20/00,12,20,2000,NEAR LUPINE CRK,531119,4972049,MALE,ADULT,PROBABLE WOLF,2001
12/20/00,12,20,2000,S OF BLACK CANYON BTWN OXBOW X BLACKTAIL DEER CRKS,534384,4981784,UNKNOWN,CALF,PROBABLE WOLF,2001
11/1/00,11,1,2000,CONFLUENCE OF LAMAR X JASPER CRK,558974,4971855,FEMALE,UNKNOWN,PROBABLE WOLF,2001
11/9/00,11,9,2000,CRYSTAL BENCH,556954,4972625,UNKNOWN,UNKNOWN,PROBABLE WOLF,2001
11/23/00,11,23,2000,BLACKTAIL DEER CRK,532227,4981245,FEMALE,OLD ADULT,PROBABLE WOLF,2001
11/24/00,11,24,2000,NORTH BUTTE/OXBOW CRK FLATS,534814,4979660,MALE,YEARLING,PROBABLE WOLF,2001
11/27/00,11,27,2000,"LOWER BLACKTAIL, NEAR EXCLOSURE",531660,4979384,MALE,ADULT,PROBABLE WOLF,2001
11/21/00,11,21,2000,W SLOUGH CRK,551004,4979198,MALE,ADULT,DEFINITE WOLF,2001
11/29/00,11,29,2000,BUCK LAKE,568772,4973000,MALE,ADULT,DEFINITE WOLF,2001
12/1/00,12,1,2000,YANCEY'S HOLE,545133,4975302,UNKNOWN,CALF,PROBABLE WOLF,2001
12/1/00,12,1,2000,MT NORRIS,569038,4966918,FEMALE,ADULT,PROBABLE WOLF,2001
11/29/00,11,29,2000,NEAR 18F'S 2000 DEN,548694,4977135,UNKNOWN,CALF,PROBABLE WOLF,2001
12/4/00,12,4,2000,MT EVERTS,529021,4979175,FEMALE,OLD ADULT,PROBABLE WOLF,2001
12/4/00,12,4,2000,HELLROARING SLOPE,546135,4980351,FEMALE,ADULT,PROBABLE WOLF,2001
12/4/00,12,4,2000,HELLROARING SLOPE,544435,4979779,UNKNOWN,CALF,DEFINITE WOLF,2001
12/3/00,12,3,2000,LAKE-OF-THE-WOODS,522950,4962056,UNKNOWN,OLD ADULT,PROBABLE WOLF,2001
12/3/00,12,3,2000,LITTLE BUFFALO CRK,547921,4977075,UNKNOWN,CALF,PROBABLE WOLF,2001
11/25/00,11,25,2000,JUNCTION PASS,550121,4976101,UNKNOWN,UNKNOWN,PROBABLE WOLF,2001
12/6/00,12,6,2000,ANTELOPE CRK,548017,4967463,MALE,OLD ADULT,DEFINITE WOLF,2001
12/6/00,12,6,2000,ELK PLAZA,522886,4982097,FEMALE,ADULT,PROBABLE WOLF,2001
12/6/00,12,6,2000,UPPER WRONG CRK,560419,4957564,MALE,ADULT,PROBABLE WOLF,2001
12/8/00,12,8,2000,EAST OF TURKEY PEN PEAK,530712,4982700,FEMALE,ADULT,PROBABLE WOLF,2001
12/8/00,12,8,2000,GARDNER'S HOLE,520203,4976349,MALE,YEARLING,PROBABLE WOLF,2001
12/10/00,12,10,2000,HELLROARING SLOPE,546754,4981315,UNKNOWN,CALF,DEFINITE WOLF,2001
12/12/00,12,12,2000,GARDNER'S HOLE,518012,4973441,MALE,YEARLING,PROBABLE WOLF,2001
12/12/00,12,12,2000,GEODE CRK,538972,4979265,FEMALE,ADULT,PROBABLE WOLF,2001
12/12/00,12,12,2000,BLACKTAIL DEER PLATEAU,530738,4973626,UNKNOWN,UNKNOWN,PROBABLE WOLF,2001
12/13/00,12,13,2000,OXBOW BENCH,536253,4979998,FEMALE,ADULT,PROBABLE WOLF,2001
12/14/00,12,14,2000,FLATS NW OF OXBOW BENCH,535922,4980748,UNKNOWN,CALF,DEFINITE WOLF,2001
12/30/00,12,30,2000,NEAR SLOUGH CRK,552444,4974465,UNKNOWN,ADULT,DEFINITE WOLF,2001
12/29/00,12,29,2000,LAVA CRK,530396,4976060,FEMALE,ADULT,DEFINITE WOLF,2001
12/29/00,12,29,2000,LITTLE COTTONWOOD CRK,540110,4982493,FEMALE,ADULT,DEFINITE WOLF,2001
12/29/00,12,29,2000,HELLROARING OVERLOOK,541645,4978884,UNKNOWN,CALF,DEFINITE WOLF,2001
1/20/00,1,20,2000,NEAR JUNCTION OF LAMAR RIVER X SPECIMEN RIDGE TRHD,564694,4966465,FEMALE,CALF,DEFINITE WOLF,2000
12/21/00,12,21,2000,LAMAR RIVER CORRIDOR - NE OF JUNCTION BUTTE,549524,4974665,FEMALE,ADULT,PROBABLE WOLF,2001
12/26/00,12,26,2000,N OF LAMAR CANYON,556694,4974915,UNKNOWN,UNKNOWN,PROBABLE WOLF,2001
12/27/00,12,27,2000,N OF LAMR CANYON,556194,4975165,UNKNOWN,UNKNOWN,PROBABLE WOLF,2001
2/23/00,2,23,2000,DOME MOUNTAIN,NA,NA,FEMALE,OLD ADULT,PROBABLE WOLF,2000
1/3/01,1,3,2001,LOWER SLOUGH CRK NEAR LOWER CABIN,556793,4978455,FEMALE,ADULT,PROBABLE WOLF,2001
1/3/01,1,3,2001,LITTLE TRAIL CRK,519934,4993117,UNKNOWN,UNKNOWN,PROBABLE WOLF,2001
1/5/01,1,5,2001,GARDNER RIVER NEAR CHINESE GARDEN,524106,4982725,UNKNOWN,CALF,PROBABLE WOLF,2001
1/12/01,1,12,2001,E OF NORTH BUTTE,535739,4978710,UNKNOWN,CALF,PROBABLE WOLF,2001
1/18/01,1,18,2001,COTTONWOOD CRK OF CINNABAR BASIN,509883,4997622,UNKNOWN,UNKNOWN,PROBABLE WOLF,2001
1/6/01,1,6,2001,E OF JUNCTION BUTTE,549564,4973575,UNKNOWN,CALF,DEFINITE WOLF,2001
1/9/01,1,9,2001,LAMAR FLATS NEAR JASPER RIDGE,558054,4972095,FEMALE,OLD ADULT,DEFINITE WOLF,2001
1/11/01,1,11,2001,N OF LAMAR CANYON - SECRECT PASSAGE,557404,4974695,FEMALE,OLD ADULT,DEFINITE WOLF,2001
1/13/01,1,13,2001,E OF SODA BUTTE CONE,567704,4970535,FEMALE,OLD ADULT,DEFINITE WOLF,2001
1/12/01,1,12,2001,N OF TOWER JUNCTION RANGER STATION,546004,4973995,UNKNOWN,UNKNOWN,PROBABLE WOLF,2001
1/18/01,1,18,2001,JUST E OF LAMAR RANGER STATION,561184,4970245,FEMALE,OLD ADULT,PROBABLE WOLF,2001
1/18/01,1,18,2001,E OF LAMAR RANGER STATION,561024,4970235,UNKNOWN,CALF,PROBABLE WOLF,2001
1/21/01,1,21,2001,LITTLE AMERICA,551624,4973005,FEMALE,OLD ADULT,DEFINITE WOLF,2001
1/23/01,1,23,2001,PRIMROSE CRK,522505,4980655,UNKNOWN,UNKNOWN,PROBABLE WOLF,2001
1/23/01,1,23,2001,OXBOW CRK,536255,4977955,UNKNOWN,UNKNOWN,PROBABLE WOLF,2001
1/22/01,1,22,2001,HELLROARING,542249,4980050,FEMALE,ADULT,DEFINITE WOLF,2001
1/24/01,1,24,2001,LITTLE AMERICA,549564,4973575,FEMALE,OLD ADULT,PROBABLE WOLF,2001
1/30/01,1,30,2001,NW OF TOWER RANGER STATION,546194,4974915,UNKNOWN,CALF,PROBABLE WOLF,2001
1/30/01,1,30,2001,SLOUGH CREEK,552294,4975025,UNKNOWN,UNKNOWN,PROBABLE WOLF,2001
2/4/01,2,4,2001,LITTLE AMERICA,550374,4973535,FEMALE,OLD ADULT,PROBABLE WOLF,2001
2/6/01,2,6,2001,S OF BUFFALO RANCH IN LAMAR VALLEY,560024,4970315,FEMALE,OLD ADULT,PROBABLE WOLF,2001
2/7/01,2,7,2001,LAMAR CANYON,556884,4974095,FEMALE,OLD ADULT,PROBABLE WOLF,2001
2/7/01,2,7,2001,LAMAR CANYON,556894,4974205,FEMALE,OLD ADULT,PROBABLE WOLF,2001
2/14/01,2,14,2001,LAMAR RIVER BRIDGE,553474,4973875,FEMALE,OLD ADULT,PROBABLE WOLF,2001
1/16/01,1,16,2001,.25 MI W OF LEOPOLD DENSITE; S OF SOUTH BUTTE,535177,4975198,MALE,ADULT,DEFINITE WOLF,2001
1/28/01,1,28,2001,MT EVERTS,527475,4980380,FEMALE,OLD ADULT,PROBABLE WOLF,2001
1/27/01,1,27,2001,"LAMAR RIVER, JUST E OF LAMAR X YELL CONFLUENCE",547794,4975515,UNKNOWN,CALF,PROBABLE WOLF,2001
2/25/01,2,25,2001,COTTONWOOD CRK,539194,4984565,UNKNOWN,UNKNOWN,PROBABLE WOLF,2001
2/3/01,2,3,2001,NEAR COTTONWOOD CRK,538144,4985165,MALE,OLD ADULT,PROBABLE WOLF,2001
1/31/01,1,31,2001,NE OF MOM'S RIDGE,551144,4976715,UNKNOWN,UNKNOWN,PROBABLE WOLF,2001
1/10/01,1,10,2001,SW OF RATTLESNAKE MTN,525686,4985694,UNKNOWN,CALF,PROBABLE WOLF,2001
1/16/01,1,16,2001,RESCUE CRK AREA,530587,4980885,FEMALE,ADULT,PROBABLE WOLF,2001
1/19/01,1,19,2001,GARDNER'S HOLE,518754,4974065,MALE,ADULT,PROBABLE WOLF,2001
2/7/01,2,7,2001,GARDNER'S HOLE,517897,4975950,MALE,ADULT,PROBABLE WOLF,2001
2/17/01,2,17,2001,CREVICE CRK,534495,4985999,MALE,ADULT,PROBABLE WOLF,2001
2/10/01,2,10,2001,SLOUGH CREEK,553024,4975075,FEMALE,ADULT,PROBABLE WOLF,2001
2/16/01,2,16,2001,DOROTHY'S KNOLL,559644,4972995,UNKNOWN,CALF,PROBABLE WOLF,2001
2/15/01,2,15,2001,"ROSE CREEK, S OF BUFFALO RANCH",560064,4971395,FEMALE,OLD ADULT,PROBABLE WOLF,2001
2/19/01,2,19,2001,RESCUE CREEK,531484,4979065,MALE,ADULT,PROBABLE WOLF,2001
2/17/01,2,17,2001,E OF TURNOFF TO SLOUGH CRK CAMPGROUND,555144,4975115,FEMALE,OLD ADULT,PROBABLE WOLF,2001
2/23/01,2,23,2001,LITTLE AMERICA; E OF PEREGRIN KNOLL,551964,4972995,FEMALE,OLD ADULT,PROBABLE WOLF,2001
2/24/01,2,24,2001,JUNCTION PASS,547894,4975675,UNKNOWN,CALF,DEFINITE WOLF,2001
4/2/01,4,2,2001,LAMAR X YELLOWSTONE CONFLUENCE,546984,4975015,FEMALE,OLD ADULT,DEFINITE WOLF,2001
4/2/01,4,2,2001,LITTLE AMERICA,548974,4973735,FEMALE,OLD ADULT,DEFINITE WOLF,2001
4/12/01,4,12,2001,LAMAR VALLEY WEST,559624,4972825,UNKNOWN,CALF,PROBABLE WOLF,2001
4/13/01,4,13,2001,W END OF LITTLE AMERICA,548564,4972835,UNKNOWN,CALF,DEFINITE WOLF,2001
4/11/01,4,11,2001,SLOUGH CREEK,553584,4975735,FEMALE,ADULT,PROBABLE WOLF,2001
2/22/01,2,22,2001,LITTLE AMERICA,549564,4973525,UNKNOWN,CALF,PROBABLE WOLF,2001
4/15/01,4,15,2001,PLEASANT VALLEY,545324,4976175,UNKNOWN,UNKNOWN,DEFINITE WOLF,2001
4/15/01,4,15,2001,PLEASANT VALLEY,545884,4975075,UNKNOWN,CALF,DEFINITE WOLF,2001
3/1/01,3,1,2001,NE OF LAMAR CANYON,558037,4974439,FEMALE,OLD ADULT,DEFINITE WOLF,2001
3/2/01,3,2,2001,S SDIE OF ROAD NEAR FISHERMAN'S PULLOUT,557990,4973570,FEMALE,OLD ADULT,DEFINITE WOLF,2001
3/3/01,3,3,2001,NE OF COYOTE OVERLOOK IN LAMAR VALLEY,559141,4973529,FEMALE,OLD ADULT,DEFINITE WOLF,2001
3/3/01,3,3,2001,NE OF FISHERMAN'S PULLOUT IN LAMAR VALLEY,559116,4973937,FEMALE,OLD ADULT,DEFINITE WOLF,2001
3/5/01,3,5,2001,0.50 KM SSE OF LAMAR RANGER STATION,560846,4970678,UNKNOWN,CALF,DEFINITE WOLF,2001
3/6/01,3,6,2001,NE OF JUNCTION BUTTE NEAR LAMAR RIVER,549320,4974290,FEMALE,OLD ADULT,DEFINITE WOLF,2001
3/8/01,3,8,2001,HELLROARING DRAINAGE,546024,4981865,UNKNOWN,UNKNOWN,PROBABLE WOLF,2001
3/10/01,3,10,2001,W OF LAMAR/YELLOWSTONE RIVER CONFLUENCE,547625,4975492,FEMALE,OLD ADULT,PROBABLE WOLF,2001
