DOD,Month,Day,Year,LOCATION,Easting,Northing,SEX,AGE.CLASS,COD,WinterYear
1/28/98,1,28,1998,NE BUFF. RANCH,561394,4971265,UNKNOWN,CALF,DEFINITE WOLF,1998
2/2/98,2,2,1998,PHANTOM LAKE,537344,4977165,FEMALE,ADULT,PROBABLE WOLF,1998
2/20/98,2,20,1998,PCNC AREA/N RD,562735,4969755,FEMALE,ADULT,PROBABLE WOLF,1998
2/20/98,2,20,1998,.25MI SL/LMR CONF,551144,4975275,UNKNOWN,CALF,DEFINITE WOLF,1998
2/20/98,2,20,1998,.25MI SL/LMR CONF,551334,4975325,UNKNOWN,CALF,DEFINITE WOLF,1998
2/21/98,2,21,1998,E OF FOOTBRIDGE,565514,4970065,MALE,ADULT,DEFINITE WOLF,1998
2/21/98,2,21,1998,E OF FOOTBRIDGE,566104,4970185,UNKNOWN,CALF,DEFINITE WOLF,1998
2/24/98,2,24,1998,HELLROARING,544594,4979665,UNKNOWN,CALF,DEFINITE WOLF,1998
3/2/98,3,2,1998,PROSPECT PK,538364,4972485,MALE,ADULT,DEFINITE WOLF,1998
3/2/98,3,2,1998,.5 MI. E OF SODA BUTTE,567244,4970915,MALE,ADULT,PROBABLE WOLF,1998
3/3/98,3,3,1998,HELLROARING,544834,4979325,UNKNOWN,CALF,DEFINITE WOLF,1998
3/7/98,3,7,1998,N OF JUNCTIONLAKE,549445,4975225,UNKNOWN,CALF,PROBABLE WOLF,1998
3/7/98,3,7,1998,CLARK FORK YELLOWSTONE,608385,4972105,UNKNOWN,CALF,PROBABLE WOLF,1998
4/18/98,4,18,1998,CRYSTAL BENCH,556165,4973005,UNKNOWN,CALF,PROBABLE WOLF,1998
3/7/98,3,7,1998,HELLROARING,544244,4979325,UNKNOWN,CALF,DEFINITE WOLF,1998
3/6/98,3,6,1998,.5KM E OF '96 DEN FOREST,536445,4976475,MALE,ADULT,DEFINITE WOLF,1998
3/5/98,3,5,1998,.5KM SW OF TROUT LK.,567794,4971615,MALE,ADULT,PROBABLE WOLF,1998
3/9/98,3,9,1998,LOST LAKE,543253,4971517,MALE,ADULT,DEFINITE WOLF,1998
3/11/98,3,11,1998,LOST LAKE RIDGE,542225,4972135,MALE,ADULT,DEFINITE WOLF,1998
3/13/98,3,13,1998,HOUSE ROCK,535215,4975677,FEMALE,OLD ADULT,DEFINITE WOLF,1998
3/13/98,3,13,1998,N SIDE OF CONFLU. OF YELL/LAMAR,547284,4975715,UNKNOWN,CALF,DEFINITE WOLF,1998
3/11/98,3,11,1998,N OF SODA BUTTE CONE,566834,4970655,MALE,YEARLING,DEFINITE WOLF,1998
3/13/98,3,13,1998,E OF LAMAR RANGER STATION,561914,4970335,FEMALE,ADULT,DEFINITE WOLF,1998
3/15/98,3,15,1998,N OF '96 DEN FOREST,536035,4976485,MALE,ADULT,DEFINITE WOLF,1998
3/14/98,3,14,1998,HELLROARING SLOPE,543974,4979265,UNKNOWN,CALF,PROBABLE WOLF,1998
3/15/98,3,15,1998,E OF HELLROARING POND,543198,4979945,UNKNOWN,CALF,DEFINITE WOLF,1998
3/14/98,3,14,1998,E OF CONFLUENCE,564324,4969075,MALE,ADULT,DEFINITE WOLF,1998
3/16/98,3,16,1998,L. COTTONWOOD CRK,538295,4982635,UNKNOWN,CALF,PROBABLE WOLF,1998
3/17/98,3,17,1998,W OF HELROARING CRK,541544,4981065,UNKNOWN,CALF,DEFINITE WOLF,1998
3/18/98,3,18,1998,RIDGE ABOVE SLOUGH CR. FLATS,551694,4976015,MALE,ADULT,DEFINITE WOLF,1998
3/18/98,3,18,1998,ROUND PRARIE,570864,4974215,FEMALE,OLD ADULT,PROBABLE WOLF,1998
3/18/98,3,18,1998,ROUND PRARIE,570544,4974095,FEMALE,OLD ADULT,DEFINITE WOLF,1998
3/19/98,3,19,1998,SODA BUTTE CRK,568535,4969255,MALE,ADULT,DEFINITE WOLF,1998
3/20/98,3,20,1998,SLOUGH FLATS,552895,4975885,UNKNOWN,CALF,PROBABLE WOLF,1998
3/20/98,3,20,1998,SLOUGH FLATS,553155,4975915,FEMALE,ADULT,PROBABLE WOLF,1998
3/20/98,3,20,1998,S OF CUT,540085,4976165,FEMALE,YEARLING,DEFINITE WOLF,1998
3/20/98,3,20,1998,S OF CUT,540085,4976165,UNKNOWN,CALF,DEFINITE WOLF,1998
3/20/98,3,20,1998,SLOUGH FLATS,553425,4976265,FEMALE,ADULT,PROBABLE WOLF,1998
3/20/98,3,20,1998,FOSSIL FOREST,561804,4967625,MALE,ADULT,DEFINITE WOLF,1998
3/22/98,3,22,1998,E OF L. BUFFALO CRK,546244,4979995,UNKNOWN,CALF,DEFINITE WOLF,1998
3/23/98,3,23,1998,HELLROARING SLOPE,544564,4979115,UNKNOWN,CALF,DEFINITE WOLF,1998
3/23/98,3,23,1998,HELLROARING,544274,4979385,UNKNOWN,CALF,DEFINITE WOLF,1998
3/24/98,3,24,1998,W OF ISLAND OF TREES,534444,4975025,MALE,ADULT,DEFINITE WOLF,1998
3/24/98,3,24,1998,E OF AMETHYST CRK,560244,4969595,MALE,YEARLING,PROBABLE WOLF,1998
3/26/98,3,26,1998,HELLROARING SLOPE,544764,4979335,UNKNOWN,CALF,DEFINITE WOLF,1998
3/28/98,3,28,1998,SLOUGH FLATS,552614,4975645,UNKNOWN,CALF,PROBABLE WOLF,1998
3/26/98,3,26,1998,S OF LAMAR PICNIC AREA,561544,4967815,MALE,ADULT,PROBABLE WOLF,1998
3/28/98,3,28,1998,"E OF LAMAR CANYON,S OF RECEIVER",556794,4973515,MALE,ADULT,DEFINITE WOLF,1998
3/30/98,3,30,1998,SLOUGH CRK-MCBRIDE LK,561435,4979215,UNKNOWN,CALF,DEFINITE WOLF,1998
3/29/98,3,29,1998,N OF DRUID LAKE,565874,4969695,MALE,ADULT,DEFINITE WOLF,1998
3/30/98,3,30,1998,BASE OF MT NORRIS,568524,4970235,MALE,YEARLING,DEFINITE WOLF,1998
3/31/98,3,31,1998,SLOUGH CRK,555985,4976215,MALE,ADULT,PROBABLE WOLF,1998
3/31/98,3,31,1998,AMPHITHEATER CRK,572385,4974975,MALE,ADULT,PROBABLE WOLF,1998
4/11/98,4,11,1998,FOOT BRIDGE/SODA BUTTE,566564,4968945,MALE,ADULT,PROBABLE WOLF,1998
4/14/98,4,14,1998,ROUND PRARIE,569904,4972905,UNKNOWN,CALF,DEFINITE WOLF,1998
4/13/98,4,13,1998,LAVA CRK,528615,4975545,MALE,ADULT,DEFINITE WOLF,1998
4/20/98,4,20,1998,HELLROARING,545874,4979995,UNKNOWN,CALF,DEFINITE WOLF,1998
4/24/98,4,24,1998,SE OF FOTBRIDGE,565554,4968185,FEMALE,ADULT,PROBABLE WOLF,1998
4/26/98,4,26,1998,DEAD PUPPY HILL,565984,4966935,MALE,ADULT,DEFINITE WOLF,1998
4/28/98,4,28,1998,BUFFALO RANCH,560434,4970995,FEMALE,ADULT,PROBABLE WOLF,1998
4/9/98,4,9,1998,B/W TROUT LK/SODAB CONE,568494,4971625,UNKNOWN,CALF,PROBABLE WOLF,1998
4/24/98,4,24,1998,RIGHT OUT FROM FOOTBRIDGE PULLOUT,NA,NA,FEMALE,ADULT,PROBABLE WOLF,1998
4/26/98,4,26,1998,"""NORRIS SLOPES"", S. OF DEAD PUPPY HILL",566244,4967015,UNKNOWN,UNKNOWN,PROBABLE WOLF,1998
1/19/98,1,19,1998,OXBOW CREEK,541015,4980305,UNKNOWN,UNKNOWN,PROBABLE WOLF,1998
11/18/98,11,18,1998,BLACKTAIL - W. FORK OF BLACKTAIL CK,534580,4976578,FEMALE,OLD ADULT,DEFINITE WOLF,1999
11/19/98,11,19,1998,CONFLUENCE; FLOOD PLAIN IN LAMAR,565007,4968284,UNKNOWN,CALF,PROBABLE WOLF,1999
11/20/98,11,20,1998,NW SIDE OF TROUT LAKE,568353,4972241,FEMALE,ADULT,PROBABLE WOLF,1999
11/22/98,11,22,1998,LAMAR VALLEY ACROSS RIVER FROM LAMAR RANGER STATION,559860,4970451,MALE,ADULT,DEFINITE WOLF,1999
11/25/98,11,25,1998,.5 MI SE OF LAMAR RANGER STATION--N. SIDE OF ROAD,561277,4971118,UNKNOWN,CALF,PROBABLE WOLF,1999
11/27/98,11,27,1998,CONFLUENCE SODA BUTTE X LAMAR,565501,4966048,UNKNOWN,CALF,PROBABLE WOLF,1999
11/28/98,11,28,1998,JASPER BENCH,558160,4971106,FEMALE,OLD ADULT,DEFINITE WOLF,1999
11/28/98,11,28,1998,"OPEN BENCH E. OF OXBOW CK, N. OF ROAD",537829,4979430,MALE,YEARLING,DEFINITE WOLF,1999
11/30/98,11,30,1998,"MT. EVERTS, ADJACENT TO LAVA CK. BRIDGE",529323,4977518,UNKNOWN,CALF,DEFINITE WOLF,1999
12/1/98,12,1,1998,BELOW JASPER BENCH ON FLATS NW OF LAMAR RIVER,558690,4972381,UNKNOWN,CALF,DEFINITE WOLF,1999
12/3/98,12,3,1998,"LAMAR RIVER BANK, ACROSS FROM ELK EXCLOSURE",562637,4968756,UNKNOWN,CALF,DEFINITE WOLF,1999
11/2/98,11,2,1998,WEST SIDE OF SLOUGH CREEK,551794,4975065,UNKNOWN,UNKNOWN,DEFINITE WOLF,1999
12/1/98,12,1,1998,"LARGE RAVINE, SOUTH OF SOUTH BUTTE",536639,4976510,UNKNOWN,UNKNOWN,PROBABLE WOLF,1999
12/5/98,12,5,1998,MT. EVERTS; NORTH FACING SLOPE,526301,4983824,UNKNOWN,CALF,DEFINITE WOLF,1999
12/5/98,12,5,1998,MT. EVERTS; NORTH FACING SLOPE,526265,4983700,FEMALE,OLD ADULT,DEFINITE WOLF,1999
12/6/98,12,6,1998,LOWER BLACKTAIL,533525,4981512,UNKNOWN,CALF,PROBABLE WOLF,1999
12/6/98,12,6,1998,LAMAR RIVER FLATS; BELOW JASPER RIDGE,557768,4973265,UNKNOWN,ADULT,PROBABLE WOLF,1999
12/15/98,12,15,1998,2 KM N. OF SLOUGH X LAMAR CONFLUENCE,551857,4975943,MALE,ADULT,PROBABLE WOLF,1999
12/8/98,12,8,1998,"N. SIDE OF ROAD, W. OF ELK EXCLOSURE",562854,4969391,FEMALE,OLD ADULT,PROBABLE WOLF,1999
12/9/98,12,9,1998,LOWER BLACKTAIL CREEK,531698,4980797,UNKNOWN,CALF,DEFINITE WOLF,1999
12/10/98,12,10,1998,SLOUGH CREEK CAMPGROUND,554629,4977689,FEMALE,ADULT,DEFINITE WOLF,1999
12/10/98,12,10,1998,GEODE FLATS,538727,4980011,FEMALE,OLD ADULT,DEFINITE WOLF,1999
12/7/98,12,7,1998,RIDGE ABOVE SLOUGH CREEK,553986,4977148,FEMALE,ADULT,DEFINITE WOLF,1999
12/5/98,12,5,1998,SLOUGH CREEK FLATS,551958,4974669,FEMALE,OLD ADULT,PROBABLE WOLF,1999
12/15/98,12,15,1998,SODA BUTTE CREEK,566341,4968911,FEMALE,OLD ADULT,PROBABLE WOLF,1999
12/13/98,12,13,1998,JUST WEST OF JUNCTION LAKE,548324,4976015,UNKNOWN,CALF,DEFINITE WOLF,1999
12/15/98,12,15,1998,NEAR YANCEY'S KILL,545634,4975875,UNKNOWN,CALF,DEFINITE WOLF,1999
12/17/98,12,17,1998,"TOWER, BY PACK TRAIL",545644,4974685,FEMALE,OLD ADULT,PROBABLE WOLF,1999
1/14/99,1,14,1999,LITTLE AMERICA,551864,4972745,UNKNOWN,CALF,DEFINITE WOLF,1999
1/13/99,1,13,1999,"ACROSS LAMAR, NEAR CABLE CAR",547759,4975240,FEMALE,CALF,PROBABLE WOLF,1999
1/13/99,1,13,1999,NORTH BUTTE,533671,4980773,UNKNOWN,CALF,DEFINITE WOLF,1999
1/17/99,1,17,1999,BLACKTAIL DEER PLATEAU,535317,4974332,MALE,ADULT,DEFINITE WOLF,1999
1/16/99,1,16,1999,LAMAR/SODA BUTTE CONFLUENCE,563930,4967212,MALE,ADULT,PROBABLE WOLF,1999
1/11/99,1,11,1999,OXBOW CREEK,535119,4981240,MALE,CALF,PROBABLE WOLF,1999
1/14/99,1,14,1999,800 M EAST OF BUFFALO RANGER STATION,560904,4970895,FEMALE,OLD ADULT,PROBABLE WOLF,1999
1/10/99,1,10,1999,800 M SOUTH OF SODA BUTTE,566634,4969005,MALE,ADULT,PROBABLE WOLF,1999
1/15/99,1,15,1999,500 M SOUTH OF BUFFALO RANCH,560374,4971015,FEMALE,OLD ADULT,PROBABLE WOLF,1999
1/21/99,1,21,1999,"50 M FROM ROAD, SOUTH OF PARAGRINE POINT",551044,4972945,FEMALE,CALF,PROBABLE WOLF,1999
1/23/99,1,23,1999,".5 KM EAST OF BUFFALO RANCH, 375 M. SOUTH OF ROAD",560574,4970905,FEMALE,OLD ADULT,PROBABLE WOLF,1999
1/24/99,1,24,1999,1 KM EAST OF JUNCTION BUTTE,549494,4973995,FEMALE,OLD ADULT,PROBABLE WOLF,1999
2/2/99,2,2,1999,NORTH OF LAMAR RANGER STATION,560994,4972145,UNKNOWN,CALF,PROBABLE WOLF,1999
2/3/99,2,3,1999,NORTH OF MIDWAY,562514,4970295,FEMALE,CALF,PROBABLE WOLF,1999
1/27/99,1,27,1999,BASE OF DOROTHY'S KNOLL,558814,4972865,FEMALE,OLD ADULT,PROBABLE WOLF,1999
1/28/99,1,28,1999,ENTRANCE OF LAMAR R. INTO LAMAR VALLEY PROPER,564004,4966595,MALE,ADULT,PROBABLE WOLF,1999
2/6/99,2,6,1999,BASE OF AMETHYST CREEK,559594,4970885,MALE,ADULT,DEFINITE WOLF,1999
2/11/99,2,11,1999,LOWER BLACKTAIL CREEK,532829,4979922,FEMALE,ADULT,PROBABLE WOLF,1999
2/8/99,2,8,1999,DEAD PUPPY HILL,565684,4967635,MALE,ADULT,PROBABLE WOLF,1999
2/12/99,2,12,1999,NORTH OF MIDWAY,561414,4970835,UNKNOWN,CALF,DEFINITE WOLF,1999
2/12/99,2,12,1999,NORTH OF MIDWAY,561474,4970855,FEMALE,CALF,PROBABLE WOLF,1999
2/9/99,2,9,1999,SODA BUTTE CREEK,568134,4970115,MALE,ADULT,DEFINITE WOLF,1999
1/27/99,1,27,1999,MOUTH OF LITTLE BUFFALO CREEK,544619,4979195,UNKNOWN,CALF,DEFINITE WOLF,1999
2/28/99,2,28,1999,HELLROARING SLOPE,542824,4980215,FEMALE,ADULT,PROBABLE WOLF,1999
3/2/99,3,2,1999,WEST FORK BLACKTAIL CR.,533806,4973834,MALE,ADULT,DEFINITE WOLF,1999
3/4/99,3,4,1999,CACHE CREEK,570297,4964781,UNKNOWN,CALF,DEFINITE WOLF,1999
3/2/99,3,2,1999,"SLOUGH CREEK, MCBRIDE LAKE",559134,4979482,MALE,ADULT,DEFINITE WOLF,1999
2/22/99,2,22,1999,BLACKTAIL CREEK ON PLATEAU,533769,4975010,MALE,ADULT,PROBABLE WOLF,1999
3/4/99,3,4,1999,SLOUGH FLATS,552274,4976185,UNKNOWN,CALF,DEFINITE WOLF,1999
3/5/99,3,5,1999,"LAMAR, N OF PICNIC AREA",562537,4970206,UNKNOWN,CALF,PROBABLE WOLF,1999
3/5/99,3,5,1999,"LAMAR, N OF PICNIC AREA",563064,4969431,UNKNOWN,OLD ADULT,PROBABLE WOLF,1999
3/5/99,3,5,1999,"LAMAR, N OF PICNIC AREA",562292,4970352,UNKNOWN,UNKNOWN,PROBABLE WOLF,1999
3/4/99,3,4,1999,UPPER OXBOW CREEK/ELK CREEK DIVIDE,540786,4972816,MALE,ADULT,PROBABLE WOLF,1999
3/5/99,3,5,1999,RIDGE WEST OF SWAN LAKE FLATS,519230,4974658,FEMALE,OLD ADULT,DEFINITE WOLF,1999
3/6/99,3,6,1999,HELLROARING SLOPE,544355,4980380,MALE,ADULT,DEFINITE WOLF,1999
2/8/99,2,8,1999,SLOUGH CREEK,561553,4980394,FEMALE,ADULT,PROBABLE WOLF,1999
2/8/99,2,8,1999,SLOUGH CREEK,561553,4980394,FEMALE,ADULT,PROBABLE WOLF,1999
2/8/99,2,8,1999,SLOUGH CREEK,561553,4980394,FEMALE,ADULT,PROBABLE WOLF,1999
2/8/99,2,8,1999,SLOUGH CREEK,561553,4980394,FEMALE,ADULT,PROBABLE WOLF,1999
2/8/99,2,8,1999,SLOUGH CREEK,561553,4980394,FEMALE,ADULT,PROBABLE WOLF,1999
2/8/99,2,8,1999,SLOUGH CREEK,561553,4980394,UNKNOWN,CALF,PROBABLE WOLF,1999
2/8/99,2,8,1999,SLOUGH CREEK,561553,4980394,UNKNOWN,CALF,PROBABLE WOLF,1999
3/7/99,3,7,1999,EAST FK BLACKTAIL CR,535420,4976630,MALE,ADULT,DEFINITE WOLF,1999
3/8/99,3,8,1999,LAMAR AND YELLOWSTONE CONFLUENCE,547529,4975279,UNKNOWN,CALF,DEFINITE WOLF,1999
3/8/99,3,8,1999,LAMAR AND YELLOWSTONE CONFLUENCE,546814,4975415,UNKNOWN,CALF,DEFINITE WOLF,1999
3/9/99,3,9,1999,W END BLACKTAIL PLATEAU DR.,537293,4977000,MALE,ADULT,PROBABLE WOLF,1999
3/9/99,3,9,1999,SLOUGH FLATS,552499,4975492,FEMALE,OLD ADULT,DEFINITE WOLF,1999
3/10/99,3,10,1999,HELLROARING CLOSE TO BRIDGE,543314,4978915,UNKNOWN,CALF,DEFINITE WOLF,1999
3/10/99,3,10,1999,"HELLROARING, LITTLE BUFFALO",543844,4979235,UNKNOWN,YEARLING,DEFINITE WOLF,1999
3/10/99,3,10,1999,"HELLROARING SLOPE, W. END",542324,4981165,UNKNOWN,CALF,DEFINITE WOLF,1999
3/10/99,3,10,1999,THE CUT,540232,4975961,MALE,ADULT,PROBABLE WOLF,1999
3/11/99,3,11,1999,RESCUE CREEK,531025,4980545,MALE,ADULT,PROBABLE WOLF,1999
3/11/99,3,11,1999,BLACKTAIL,535747,4975258,MALE,ADULT,DEFINITE WOLF,1999
3/11/99,3,11,1999,COTTONWOOD CR,539705,4984595,FEMALE,ADULT,DEFINITE WOLF,1999
12/31/99,12,31,1999,WESTERN SLOPE OF MT NORRIS,565544,4967415,UNKNOWN,UNKNOWN,PROBABLE WOLF,2000
3/8/99,3,8,1999,LITTLE BUFFALO AND YELLOWSTONE CONFLUENCE,544014,4979035,UNKNOWN,CALF,PROBABLE WOLF,1999
2/15/99,2,15,1999,SOUTH OF BUFFALO RANGER STATION,560064,4970855,UNKNOWN,CALF,DEFINITE WOLF,1999
2/15/99,2,15,1999,SOUTH OF BUFFALO RANGER STATION,559944,4970945,FEMALE,ADULT,DEFINITE WOLF,1999
3/12/99,3,12,1999,"BLACKTAIL, MARY MEAGHER CABIN",532269,4975826,MALE,ADULT,DEFINITE WOLF,1999
3/12/99,3,12,1999,BLACKTAIL,533454,4974695,MALE,ADULT,DEFINITE WOLF,1999
3/8/99,3,8,1999,LAMAR ABOVE EXCLOSURE,563575,4969215,MALE,YEARLING,PROBABLE WOLF,1999
2/28/99,2,28,1999,HELLROARING MNT.,543244,4980915,FEMALE,OLD ADULT,PROBABLE WOLF,1999
2/18/99,2,18,1999,RAINY LAKE,547039,4972785,FEMALE,YEARLING,PROBABLE WOLF,1999
1/21/99,1,21,1999,GEODE CR,540364,4979285,FEMALE,OLD ADULT,PROBABLE WOLF,1999
2/21/99,2,21,1999,"YELLOWSTONE RIVER BRIDGE, W OF JNCT BUTTE",547069,4974880,FEMALE,CALF,PROBABLE WOLF,1999
3/15/99,3,15,1999,BISON RIDGE,557385,4976343,MALE,ADULT,DEFINITE WOLF,1999
3/16/99,3,16,1999,BLACKTAIL,533615,4976558,MALE,ADULT,DEFINITE WOLF,1999
3/15/99,3,15,1999,SE SHORE OF TROUT LAKE,568848,4972314,FEMALE,OLD ADULT,PROBABLE WOLF,1999
3/16/99,3,16,1999,"SODA BUTTE, N SIDE OF ROAD",566344,4969655,MALE,ADULT,DEFINITE WOLF,1999
3/11/99,3,11,1999,"N SIDE OF ROAD FROM PICNIC AREA, W OF EXCLOSURE",561617,4971157,UNKNOWN,CALF,PROBABLE WOLF,1999
3/13/99,3,13,1999,"BASE OF JASPER RIDGE, WEST END",557706,4972885,UNKNOWN,UNKNOWN,PROBABLE WOLF,1999
3/16/99,3,16,1999,MOM'S RIDGE,550274,4974335,UNKNOWN,CALF,DEFINITE WOLF,1999
3/16/99,3,16,1999,HELLROARING,544369,4979040,MALE,CALF,PROBABLE WOLF,1999
3/16/99,3,16,1999,HELLROARING,544229,4979015,UNKNOWN,CALF,PROBABLE WOLF,1999
3/19/99,3,19,1999,HELLROARING,544444,4979315,UNKNOWN,CALF,DEFINITE WOLF,1999
3/19/99,3,19,1999,HELLROARING CREEK,544584,4980685,MALE,ADULT,DEFINITE WOLF,1999
3/18/99,3,18,1999,LOWER BLACKTAIL CREEK,532993,4980707,FEMALE,OLD ADULT,PROBABLE WOLF,1999
3/20/99,3,20,1999,TURKEY PEN,527954,4983800,MALE,ADULT,DEFINITE WOLF,1999
3/21/99,3,21,1999,MT. EVERTS,526999,4982147,UNKNOWN,CALF,DEFINITE WOLF,1999
3/21/99,3,21,1999,MT. EVERTS,526775,4982365,UNKNOWN,CALF,DEFINITE WOLF,1999
3/21/99,3,21,1999,JACKSON'S GRADE,563710,4969263,FEMALE,OLD ADULT,DEFINITE WOLF,1999
3/20/99,3,20,1999,S FORK OF CACHE CREEK,579107,4961378,UNKNOWN,UNKNOWN,PROBABLE WOLF,1999
