ID,Capture Date,CaptureLocation,Easting(capt),Northing(capt),Pregnant,PSPB Value,Lactating @ Capture,ID_old,BirthYear
90,05-Feb-02,E of Antelope Ck,549154,4968487,yes,,No,90,1990
91,05-Feb-02,Lamar Valley,561114,4969623,yes,,No,91,1986
92,05-Feb-02,Hellroaring,544733,4979508,yes,,No,92,1995
93,05-Feb-02,Tower Falls,548803,4970966,no,,Yes,93,1994
94,27-Feb-03,Mount Everts north,525998,4983428,no,,,94,1990
95,27-Feb-03,Bison Peak,558940,4974056,yes,,,95,1986
96,27-Feb-03,Lamar Valley,562190,4969685,yes,,,96,1997
97,27-Feb-03,Lower Blacktail Deer Creek,533699,4981100,yes,,,97,2000
98,27-Feb-03,Cache/Calfee Ridge,569963,4962339,n/a,,,98,1991
99,27-Feb-03,Blacktail Geode Creek,537707,4978722,yes,,,99,1992
100,27-Feb-03,Blacktail north butte,535720,4981082,yes,,,100,1998
101,27-Feb-03,Lamar Canyon,556578,4974614,yes,,,101,1985
102,27-Feb-03,Slough Creek,553259,4974538,yes,,,102,2000
103,27-Feb-03,Crevice Creek,532790,4985047,no,,,103,1994
104,27-Feb-03,Lamar/Yellowstone confluence,546740,4976505,yes,,,104,1989
105,27-Feb-03,Druid Peak,563484,4970707,no,,,105,1985
106,27-Feb-03,Lamar/Yellowstone confluence,546732,4976537,no,,,106,1985
107,27-Feb-03,Rose Creek,561776,4974518,no,,,107,1986
108,27-Feb-03,Lamar Valley,563087,4969961,yes,,,108,1991
109,27-Feb-03,Lower Blacktail Deer Creek,533720,4981090,yes,,,109,1990
110,27-Feb-03,Lamar Canyon,556572,4974476,yes,,,110,1985
111,27-Feb-03,Mount Everts north,525949,4984393,yes,,,111,1992
112,27-Feb-03,Slough Creek,553042,4974146,yes,,,112,1990
113,27-Feb-03,Crevice Creek,532783,4984940,,,,113,1993
114,01-Feb-05,Slough/Lamar confluence,552510,4974061,yes,,,114,1997
115,01-Feb-05,Slough/Lamar confluence,552227,4973870,yes,,,115,1990
116,01-Feb-05,"Garnet Hill, North side",545690,4977022,yes,,,116,1995
117,01-Feb-05,Sepulcher,522124,4985026,yes,,,117,
118,01-Feb-05,Druid Peak,563038,4971034,yes,,,118,1994
119,01-Feb-05,Little America,547693,4976286,no,,,119,1990
120,01-Feb-05,Geode Bench,536537,4979071,yes,,,120,1999
121,01-Feb-05,Pleasant Valley/Garnet,546519,4977314,yes,,,121,1993
122,01-Feb-05,NW Everts,527445,4984247,yes,,,122,1996
123,01-Feb-05,Everts,527877,4981127,yes,,,123,
124,01-Feb-05,Specimen SW slope,550476,4970779,yes,,,124,1998
125,01-Feb-05,SE Everts,530541,4978018,yes,,,125,1993
126,01-Feb-05,Geode Bench,536781,4979162,yes,,,126,1995
127,01-Feb-05,Geode Bench,536423,4979782,yes,,,127,1993
128,01-Feb-05,Junction Butte,549188,4972835,yes,,,128,1998
129,01-Feb-05,Sepulcher,522148,4984871,yes,,,129,1989
130,01-Feb-05,Blacktail,532443,4979238,yes,,,130,1993
131,01-Feb-05,Upper Blacktail,533401,4975566,n/a,,,131,1993
132,02-Mar-06,Lamar Valley,554952,4975441,yes,,,132,2002
133,02-Mar-06,Lamar Valley,554881,4976026,yes,,,133,1998
134,02-Mar-06,Specimen,549970,4970376,yes,,,134,1994
135,02-Mar-06,Sepulcher,521999,4983883,no,,,135,1998
136,02-Mar-06,Sepulcher,521315,4985516,yes,,,136,1990
137,02-Mar-06,Lamar Valley,557880,4975312,yes,,,137,1992
138,02-Mar-06,Everts,525544,4984112,yes,,,138,2001
139,02-Mar-06,Everts,524717,4983172,yes,,,139,2002
140,02-Mar-06,Druid,521315,4985516,yes,,,140,1996
141,02-Mar-06,Everts,524717,4983172,yes,,,141,1994
142,02-Mar-06,Sepulcher,522392,4984131,yes,,,142,1994
143,02-Mar-06,Junction Butte,550491,4974108,yes,,,143,1991
144,02-Mar-06,Garnet,546333,4978446,yes,,,144,1992
145,02-Mar-06,Hellroaring,542591,4980747,yes,,,145,1996
146,02-Mar-06,Specimen,551490,4970397,no,,,146,1986
147,02-Mar-06,Garnet,545794,4978451,yes,,,147,1993
148,02-Mar-06,Sepulcher,522107,4984315,yes,,,148,1996
149,02-Mar-06,Everts,525544,4984112,no,,,149,1992
150,02-Mar-06,Specimen,550113,4971389,yes,,,150,1994
151,02-Mar-06,Hellroaring,542539,4979697,no,,,151,1993
152,02-Mar-06,Lamar Valley,556079,4974931,yes,,,152,1992
153,02-Mar-06,Specimen,549300,4972185,yes,,,153,1994
154,02-Mar-06,Specimen/Tower,549798,4973022,yes,,,154,1992
155,02-Mar-06,Everts,,,no,,,155,2002
156,02-Mar-06,Lamar Valley,555987,4974894,yes,,,156,1994
157,02-Mar-06,Blacktail,535710,4977912,yes,,,157,1993
158,02-Mar-06,Sepulcher,521939,4985345,no,,,158,1997
159,02-Mar-06,Lamar,556582,4975094,yes,,,159,1992
160,02-Mar-06,Specimen,550260,4970961,yes,,,160,1992
161,02-Mar-06,Everts,526179,4983840,yes,,,161,1994
1101,21-Mar-11,Everts,526811,4982364,yes,,,162,1999
1102,21-Mar-11,Sepulcher,520208,4985375,yes,,,163,1997
1103,21-Mar-11,Everts,525134,4981526,yes,,No,164,1993
1104,21-Mar-11,Sepulcher,519439,4986140,yes,,No,165,2005
1105,21-Mar-11,Sepulcher,519712,4986411,yes,,,166,1996
1106,21-Mar-11,Blacktail,533499,4978658,yes,,,167,1996
1107,21-Mar-11,Blacktail,533571,4979386,yes,,,168,1995
1108,21-Mar-11,Oxbow Bench,536288,4979666,yes,,,191,1995
1109,21-Mar-11,Junction Butte,548420,4973790,yes,,,170,1992
1110,21-Mar-11,Pleasant Valley,545404,4975603,yes,,,171,2005
1111,21-Mar-11,Oxbow Bench,537990,4978521,yes,,,172,2000
1112,21-Mar-11,Sepulcher,520528,4985994,yes,,,173,1997
1113,21-Mar-11,Blacktail,532793,4980030,yes,,,174,1999
1114,21-Mar-11,Everts,524860,4981745,yes,,,175,2006
1115,21-Mar-11,Everts,526959,4982439,yes,,,176,2006
1116,21-Mar-11,Sepulcher,522320,4985016,yes,,,177,1993
1117,21-Mar-11,Blacktail,532521,4980577,yes,,,178,1998
1118,21-Mar-11,Pleasant Valley,546552,4974540,yes,,,179,1997
1119,21-Mar-11,Hellroaring,542672,4981541,yes,,,180,2000
1120,21-Mar-11,Geode,539811,4979688,yes,,,181,2000
1121,21-Mar-11,Buffalo Ford/Junction Lake,549105,4975144,yes,,,182,2000
1122,21-Mar-11,Peregrine Knolls,551027,4973637,yes,,,183,1991
1123,21-Mar-11,Hellroaring,544381,4979129,yes,,,184,2002
1124,21-Mar-11,Geode,541129,4979738,yes,,,185,2004
1125,21-Mar-11,Hellroaring,542296,4979862,yes,,,186,1994
1126,21-Mar-11,Sepulcher,521655,4985079,no,,,187,2004
1127,21-Mar-11,Hellroaring,543767,4979510,yes,,,188,2001
1128,21-Mar-11,Hellroaring,546085,4978109,yes,,,189,2005
1129,21-Mar-11,Pleasant Valley,546063,4974687,yes,,,190,2002
1130,21-Mar-11,Oxbow Bench,538943,4978603,yes,,,169,2001
1131,06-Apr-11,Sepulcher,520832,4987045,,,,192,
1133,24-Oct-11,Mammoth,524369,4979510,,,No,193,2009
1201,21-Feb-12,Everts,528164,4982974,yes,,,205,1999
1202,21-Feb-12,Sepulcher,519648,4986865,yes,,,194,2000
1203,21-Feb-12,Everts,527400,4984064,no,,,195,1994
1204,21-Feb-12,Everts,530845,4979118,no,,,196,1995
1205,21-Feb-12,Geode Marsh,540700,4979955,yes,,,197,2004
1206,21-Feb-12,Blacktail,533512,4980059,yes,,,203,1994
1207,21-Feb-12,Sepulcher,520262,4986434,yes,,,198,2000
1208,21-Feb-12,Hellroaring,541008,4978222,yes,,,201,2003
1208,12-Dec-13,south butte,535584,4976454,yes,0.5985,,201,
1209,21-Feb-12,Hellroaring,545575,4978421,yes,,,199,2003
1209,12-Dec-13,trough,549290,4976701,yes,0.7171,,199,
1210,21-Feb-12,Oxbow Creek,535890,4979483,yes,,,202,2000
1211,21-Feb-12,Oxbow Bench,536780,4979812,yes,,,206,1997
1212,21-Feb-12,Hellroaring,544554,4979654,yes,,,204,1997
1213,21-Feb-12,Hellroaring,540980,4980406,yes,,,207,2003
1214,21-Feb-12,Hellroaring,546147,4979498,yes,,,208,2001
1215,21-Feb-12,Hellroaring,543028,4978035,yes,,,200,2000
1301,18-Jan-13,,538495,4983958,yes,,,209,2006
1302,18-Jan-13,,522042,4984720,yes,,,210,2006
1303,18-Jan-13,,535563,4980447,yes,,,211,1997
1304,18-Jan-13,,527018,4985199,yes,,,212,2002
1305,18-Jan-13,,559717,4972677,yes,,,213,2000
1306,18-Jan-13,,544674,4979623,yes,,,214,2002
1307,18-Jan-13,,520823,4985660,yes,,,215,2005
1308,18-Jan-13,,524877,4983046,yes,,,216,2005
1309,18-Jan-13,,530716,4982086,yes,,,217,2008
1310,18-Jan-13,,,,yes,,,218,2004
1311,18-Jan-13,,544812,4973648,yes,,,219,1998
1312,18-Jan-13,,539473,4976445,yes,,,220,
1312,05-Feb-15,north slope Phantom  Lake,537760,4978160,,,,220,2003
1313,18-Jan-13,,523018,4982910,no,,,221,1998
1314,18-Jan-13,,533393,4981153,yes,,,222,2010
1315,18-Jan-13,,559792,4974122,yes,,,223,2000
1316,18-Jan-13,,536086,4979949,yes,,,224,2000
1317,18-Jan-13,,551403,4969851,yes,,,225,2007
1318,18-Jan-13,,520340,4986221,yes,,,226,
1319,18-Jan-13,East Mammoth,526930,4981556,yes,,,227,2010
1320,18-Jan-13,,541287,4975886,yes,,,228,2006
1401,11-Dec-13,sepulcher hills,522748,4985052,Yes,0.6551,,229,2002
1402,11-Dec-13,north everts,526496,4984333,Yes,0.6191,,230,2003
1403,11-Dec-13,blacktail plateau,534011,4976594,Yes,0.6482,,231,2010
1404,11-Dec-13,north butte,534165,4981364,Yes,0.7717,,232,2000
1405,11-Dec-13,geode marsh,540849,4980328,Yes,0.3986,,233,2009
1406,11-Dec-13,oxbow bench,538208,4978646,Yes,0.5283,,234,2010
1407,11-Dec-13,across from airport,520961,4987322,Yes,0.6858,,235,2004
1408,11-Dec-13,shooting range flats,524692,4985027,Yes,0.5526,,236,2011
1409,11-Dec-13,everts,527736,4983750,Yes,0.5688,,237,2003
1410,11-Dec-13,turkey pen,527667,4984948,Yes,0.6005,,238,2006
1412,11-Dec-13,rescue creek,529986,4980178,Yes,0.6324,,239,2007
1413,11-Dec-13,south butte,535035,4977370,No,0.045,,240,2003
1414,11-Dec-13,above wraith falls,530658,4976202,Yes,0.5195,,241,2003
1415,11-Dec-13,north entrance,522404,4986164,Yes,0.5375,,242,2005
1416,11-Dec-13,upper stephens creek,520262,4984718,Yes,0.6888,,243,2006
1417,11-Dec-13,sepulcher hills,522569,4984209,Yes,0.5079,,244,2003
1419,11-Dec-13,stephens creek,519271,4986130,Yes,0.5946,,245,2002
1420,11-Dec-13,rescue creek marsh,528104,4983289,no,0.045,,246,2009
1421,11-Dec-13,sepulcher,521545,4985187,no,0.045,,247,2010
1422,11-Dec-13,Sepulcher Hills,521366,4984831,yes,0.5885,,248,2005
1501,16-Dec-14,Tower Junction,546067,4974781,yes,0.7025,,249,2001
1502,16-Dec-14,"N of Junction Pass, almost top of Buffalo Plateau",549358,4978175,yes,0.5634,,250,1998
1503,15-Dec-14,Secret Passage,556050,4975744,yes,0.3984,,251,1999
1504,15-Dec-14,Sepulcher Hills,521790,4984786,yes,0.5569,,252,2004
1505,16-Dec-14,Specimen Ridge,551821,4970511,no,0.045,,253,1993
1506,16-Dec-14,Specimen Ridge,552082,4969826,no,0.045,,254,2000
1507,16-Dec-14,Little Buffalo Creek,547460,4979024,no,0.045,,255,1992
1508,16-Dec-14,Specimen Ridge,552195,4969428,yes,0.6613,,256,2005
1509,15-Dec-14,Secret Passage,557868,4976063,yes,0.3666,,257,2007
1510,15-Dec-14,Secret Passage,557833,4975251,yes,1.1561,,258,2001
1511,15-Dec-14,Ridge south of The Trough,547786,4976812,yes,0.5997,,259,2004
1512,15-Dec-14,North of Junction Pass,550576,4976623,yes,0.55,,260,2005
1513,15-Dec-14,Mom's Ridge,550396,4975742,yes,0.5228,,261,2009
1514,15-Dec-14,Little Buffalo Creek,546784,4979620,no,0.045,,262,2012
1515,15-Dec-14,Stephens Creek,518300,4986807,yes,0.4701,,263,2003
1516,15-Dec-14,West end Specimen Ridge,550178,4971556,yes,0.9196,,264,2010
1517,15-Dec-14,West end Spcimen Ridge,551117,4970567,yes,0.5953,,265,2011
1518,16-Dec-14,Tower Junction,546026,4973970,yes,0.6242,,266,2006
1519,15-Dec-14,The Bowl east of Slough,555471,4974740,yes,0.7193,,267,2008
1520,15-Dec-14,West slope of Slough Creek,551322,4976802,yes,0.5228,,268,2012
1601,16-Jan-16,Dome,517199.6,5011279.5,yes,0.5506,No,269,2011
1602,16-Jan-16,Dome,514491,5008528.7,no,0.0547,Yes,270,2008
1603,15-Jan-16,Cinnabar Basin,509794.4,4994744.4,yes,0.7277,No,271,2009
1604,15-Jan-16,East Gardiner Basin,514778.1,5003185.8,yes,0.6612,No,272,2013
1605,,,,,,,,273,
1606,16-Jan-16,Dome,516914.4,5011097.6,yes,0.6994,No,274,2010
1607,16-Jan-16,Dome,515148.6,5009263.4,yes,0.317,Yes,275,2000
1608,15-Jan-16,West Gardiner Basin,515338.3,4995699.6,yes,0.5265,No,276,2013
1609,15-Jan-16,East Gardiner Basin,519776.3,4990101.8,yes,0.5982,No,277,2009
1610,16-Jan-16,Dome,514562.2,5008625.5,yes,0.558,No,278,2001
1611,16-Jan-16,Dome Flats,513223.1,5011583.2,yes,0.5442,No,279,1999
1612,15-Jan-16,Cinnabar,508606.9,4993870.6,yes,0.6323,No,280,2001
1613,15-Jan-16,Cinnabar,512947.1,4994065.5,yes,0.5673,No,281,2003
1614,15-Jan-16,West Gardiner Basin,514357.4,4998163.5,no,0.045,Yes,282,2004
1615,15-Jan-16,East Gardiner Basin,523949.5,4989938.4,no,0.045,Yes,283,2010
1616,16-Jan-16,Dome,514821,5008373.9,yes,0.6812,No,284,2003
1617,15-Jan-16,East Gardiner Basin,515939.2,5000722.4,no,0.045,Yes,285,2004
1618,16-Jan-16,Dome Flats,514262.3,5015567,yes,0.6101,No,286,1998
1619,16-Jan-16,Dome,517061.8,5010587,yes,0.6284,No,287,2012
1620,16-Jan-16,Dome,517082.3,5011116.9,yes,0.6083,No,288,2011
1621,16-Jan-16,Dome,515149.9,5008719.1,yes,0.7553,No,289,2013
1622,15-Jan-16,East Gardiner Basin,517786.9,4997705.6,yes,0.6381,No,290,2009
1623,15-Jan-16,East Gardiner Basin,518552.4,4994041.8,yes,0.5677,No,291,2006
1624,16-Jan-16,Dome,517352.6,5009835.7,yes,0.5927,No,292,2002
1625,16-Jan-16,Dome Flats,516742.8,5015764.2,yes,0.6254,No,293,2004
1626,15-Jan-16,Cinnabar,516833.2,4992570.7,yes,0.5167,No,294,2006
1627,15-Jan-16,East Gardiner Basin,520724.6,4989003.9,yes,0.5634,No,295,2013
1628,25-Feb-16,Deckard Flats,526018,4988513,yes,,,296,2008
1629,25-Feb-16,Deckard Flats,526259,4989392,yes,,,297,2007
1630,25-Feb-16,West Gardiner Basin,513326,4998739,no,,,298,2011
1631,25-Feb-16,West Gardiner Basin,515794,5001474,no,,,299,2013
1632,15-Jan-16,East Gardiner Basin,516071.6,4998122.1,yes,0.491,No,,
1633,16-Jan-16,Dome Flats,516088,5016409,yes,0.5573,No,,2004
1701,17-Jan-17,Junction Butte,548595,4973972,no,0.045,,,2013
1702,16-Jan-17,Crystal Creek Drainage,554426,4972908,yes,0.8219,,,2012
1703,16-Jan-17,Crystal Creek Drainage,555064,4973450,no,0.045,,,2000
1704,16-Jan-17,Slough Ck/Lamar River Confluence,550744,4974376,yes,0.9808,,,2005
1705,17-Jan-17,Tower Creek,546900,4970939,yes,0.7374,,,2000
1706,17-Jan-17,North Lamar Valley,559607,4973977,yes,0.6417,No,,2003
1707,16-Jan-17,Slough Creek,551820,4975050,yes,0.83,,,2004
1708,17-Jan-17,Tower Junction,546542,4974046,no,0.045,,,2003
1709,17-Jan-17,Slough Creek,553257,4976803,no,0.045,,,1999
1710,17-Jan-17,E of Prospect Peak,542090,4971545,yes,0.8163,,,2001
1801,15-Dec-17,Antelope Basin,548745,4967919,yes,0.7762,,,2001
1802,15-Dec-17,North Butte,533817,4978924,yes,0.8174,,,2006
1803,15-Dec-17,Painted Hills,530995,4980974,yes,0.7694,Yes,,2006
1804,15-Dec-17,Mount Everts,527628,4981338,yes,1.0801,,,2003
1805,15-Dec-17,Lower Blacktail Creek,531684,4980310,yes,0.7931,,,2012
1806,15-Dec-17,Antelope Basin,548962,4968448,yes,0.9852,,,2005
1807,15-Dec-17,Hellroaring,544967,4979617,yes,0.7451,,,2007
1808,16-Dec-17,South of Blacktail Ponds,532311,4976931,yes,0.958,,,2005
1809,16-Dec-17,Oxbow Bench,537496,4979252,yes,0.9159,No,,2013
1810,15-Dec-17,Specimen Ridge,551717,4970522,yes,0.7935,No,,2010
1901,09-Dec-18,Seplechur Hills,520835,4986023,yes,1.5273,,,2011
1902,09-Dec-18,Cottonwood,540101,4983572,yes,1.0325,,,2006
1903,09-Dec-18,Seplechur Hills,522644,4985202,yes,1.1479,,,2009
1904,11-Dec-18,Tower,541757,4976014,yes,1.2391,,,2015
1905,11-Dec-18,Bison Peak,559512,4975113,yes,1.275,,,2005
1906,09-Dec-18,Everts,528030,4978684,yes,1.0053,,,2014
1908,09-Dec-18,Cottonwood,539580,4983019,yes,1.4245,,,2015
1909,09-Dec-18,Everts,529581,4981483,yes,0.4097,,,2013
1910,09-Dec-18,Tower,530535,4978712,yes,1.1283,,,2014
1911,11-Dec-18,Petrified Tree,543135,4973802,yes,1.5561,,120181,2007
1912,11-Dec-18,Bison Peak,559807,4974124,yes,1.2642,,,2004
1913,11-Dec-18,Hellroaring,548177,4978179,no,0.045,,,2003
1914,11-Dec-18,Above Mom's,550882,4976986,yes,1.1581,,,2010
2000,14-Dec-19,Lost Lake,544741,4973351,yes,0.485,,,
2001,15-Dec-19,Everts,526190,4984496,yes,0.477,,,2005
2002,14-Dec-19,Crystal Creek,554773,4972447,yes,0.465,,,2002
2003,14-Dec-19,Druid Peak,562278,4971093,yes,0.477,,,2013
2004,14-Dec-19,Little America,552090,4972215,yes,0.515,,,2004
2005,15-Dec-19,Tower Crek,547387,4971193,no,0.045,,,2000
2006,15-Dec-19,Oxbow Bench,538722,4978258,no,0.071,,,2000
2007,15-Dec-19,Everts,527333,4980341,no,0.054,,,2018
2008,15-Dec-19,Pleasant Valley,546358,4974900,no,0.049,,,2016
2009,15-Dec-19,Lower Blacktail,532588,4979173,no,0.051,,,2014
2010,15-Dec-19,Everts,529711,4978873,no,0.046,,,2003
2011,15-Dec-19,Everts,530275,4979725,yes,0.498,,,2010
2012,14-Dec-19,Hellroaring Slope,545811,4980971,yes,0.496,,,2015
2013,14-Dec-19,Bison Peak,558755,4974298,no,0.093,,,2007
2101,15-Dec-20,Sepulcher Hills,520349,4986832,yes,0.501,,,2011
2102,15-Dec-20,Elk Plaza,523858,4982091,no,0.046,,,2018
2103,15-Dec-20,Everts,524930,4984309,yes,0.486,,,2004
2104,15-Dec-20,Rattlesnake Butte,526331,4985590,yes,0.49,,,2005
