ID,Capture Date,CaptureLocation,Easting(capt),Northing(capt),Pregnant,PSPB Value,Lactating @ Capture,ID_old,BirthYear
2215,11-Dec-21,Rose Creek,561765,4973613,yes,0.631,,,2013
2216,11-Dec-21,Tower Junction,545958,4974852,yes,0.614,,,2006
2217,11-Dec-21,"Wrecker pullout, NW Junction Butte",547442,4974497,yes,0.627,,,2013
2301,07-Jan-23,,553318,4976242,yes,0.496,,,2012
2302,08-Jan-23,,531819,4980755,yes,0.482,,,2014
2303,07-Jan-23,,540104,4978022,yes,0.494,,,2013
2304,07-Jan-23,,533601,4981109,yes,0.473,,,2017
2305,08-Jan-23,,544733,4973986,yes,0.463,,,2012
2306,07-Jan-23,,524594,4982299,yes,0.474,,,2017
2307,07-Jan-23,,537415,4977660,no,0.045,,,2003
2308,07-Jan-23,,545272,4974057,yes,0.49,,,2017
2309,07-Jan-23,,523064,4984867,yes,0.486,,,2009
2310,07-Jan-23,,524332,4981183,yes,0.479,,,2006
2311,07-Jan-23,,533281,4981217,yes,0.485,,,2015
2312,07-Jan-23,,534279,4980771,yes,0.474,,,2015
2313,07-Jan-23,,524952,4984359,yes,0.468,,,2013
2314,07-Jan-23,,523080,4985380,yes,0.479,,,2015
2315,07-Jan-23,,533924,4981240,yes,0.484,,,2014
2316,07-Jan-23,,522456,4985130,yes,0.474,,,2018
2317,07-Jan-23,,526184,4984564,yes,0.501,,,2007
2501,19-Dec-24,,529145,4980218,yes,0.814,,,
2502,16-Dec-24,,524778,4982480,yes,0.838,,,
2503,16-Dec-24,,524562,4982813,no,0.122,,,
2504,16-Dec-24,,579839,4984219,yes,0.817,,,
2505,18-Dec-24,,547362,4979091,yes,0.857,,,
2506,19-Dec-24,,528329,4979951,yes,0.843,,,
2507,16-Dec-24,,538801,4979697,yes,0.853,,,
2508,16-Dec-24,,524621,4985677,no,0.045,,,
2509,16-Dec-24,,536705,4976943,yes,0.82,,,
2510,18-Dec-24,,529302,4977415,yes,0.818,,,
2511,16-Dec-24,,542447,4979832,yes,0.763,,,
2512,16-Dec-24,,524645,4977897,yes,0.846,,,
2513,16-Dec-24,,537459,4979040,yes,0.859,,,
2514,18-Dec-24,,534909,4978078,yes,0.849,,,
2515,18-Dec-24,,527407,4980904,yes,0.85,,,
2516,16-Dec-24,,535889,4977193,yes,0.828,,,
2517,16-Dec-24,,525715,4985612,no,0.045,,,
2518,18-Dec-24,,545406,4973809,yes,0.823,,,
2519,16-Dec-24,,530020,4976946,yes,0.814,,,
