ID,Date,Local Time,Air/Ground,Pilot,Observer,Drift,Signal Heard,Heard From Location,Elk General Location,Visual?,Easting,Northing,UTM error,Seasonal range,VegType,Regrowth (if app),Behavior,W/Calf?,Group Size,Composition(description),Cows,Calves,Bulls,Spikes,Multiple collars?,Relocation comments,ID_old,IDuncertainty
1,6/21/2000,8:37:00 AM,Air,DC,SE,,,,Panther,Yes,516652,4970034,,summer,"gr, shr",,"bedded, standing",n/a,11,"cow, calf, bull",Yes,Yes,Yes,,,,1,
2,6/21/2000,8:46:00 AM,Air,DC,SE,,,,Panther,Yes,513564,4971333,,summer,df,,bedded,no,17,cows,17,0,0,0,,,2,
3,6/21/2000,9:10:00 AM,Air,DC,SE,,,,W of Griz Lk,Yes,517243,4962266,,summer,df,,bedded,yes,15,"13 cows, 2 calves",13,2,0,,,,3,
4,6/21/2000,9:21:00 AM,Air,DC,SE,,,,Indian Ck,Yes,518039,4968437,,summer,df,,bedded,no,26,cows,26,0,0,,,,4,
6,6/21/2000,11:36:00 AM,Air,DC,SE,,,,E of Obsidian,Yes,524850,4970763,,summer,lp,,standing,no,11,"cow, calf",Yes,Yes,,,,,6,
8,6/21/2000,10:06:00 AM,Air,DC,SE,,,,W of Griz Lk,Yes,516420,4961835,,summer,lp,,bedded,no,7,cows,7,0,0,,,,8,
9,6/21/2000,11:49:00 AM,Air,DC,SE,,,,btw Oxbow & Elk Ck,Yes,541072,4975217,,summer,shr,,walking,no,32,"26 cows, 6 calves",26,6,0,,,,9,
12,6/21/2000,10:20:00 AM,Air,DC,SE,,,,Norris,Yes,522503,4952158,,summer,df,,walking,yes,5,"4 cows, 1 calf",4,1,0,,,,12,
16,6/21/2000,8:19:00 AM,Air,DC,SE,,,,Quadrant,Yes,511746,4973453,,summer,"gr, shr",,"bedded, spooked",yes,22,cows,Yes,,,,,,16,
19,6/21/2000,9:49:00 AM,Air,DC,SE,,,,SE of Quadrant,No,515050,4971992,,summer,df,,unknown,unk,unk,unknown,Yes,,,,,thick Doug fir,19,
20,6/21/2000,8:26:00 AM,Air,DC,SE,,,,Fawn Pass,Yes,508641,4972978,,summer,gr,,bedded,no,1,alone,1,0,0,0,,,20,
24,6/21/2000,8:59:00 AM,Air,DC,SE,,,,E of Obsidian,Yes,524702,4969244,,summer,df,,bedded,no,7,cows,7,0,0,0,,,24,
31,6/21/2000,10:57:00 AM,Air,DC,SE,,,,btw L Buff & Buff Ck,Yes,552816,4979557,,summer,df,,"standing, feeding",no,8,cows,8,0,0,,,,31,
43,6/21/2000,11:21:00 AM,Air,DC,SE,,,,Mt. Everts,Yes,527803,4980804,,summer,"gr, shr, asp",,"standing, spooked, ran",n/a,120,"cow, calf, bull",Yes,Yes,Yes,,,,43,
21,6/22/2000,10:27:00 AM,Air,DC,SE,,,,E fork Amethyst Ck,Yes,559376,4967961,,summer,"gr, shr",,"bedded, spooked",N/A,58,"cow, calf, bull",Yes,Yes,Yes,,,collar is loose,21,
25,6/22/2000,8:34:00 AM,Air,DC,SE,,,,upper Hellroaring,Yes,548756,4998898,,summer,rw,,"standing, grazing, bedded",yes,28,cows,28,0,0,,y3,"w/ 219.820, 219.980; in creek",25,
26,6/22/2000,8:19:00 AM,Air,DC,SE,,,,E fork Hellroaring,Yes,551804,4994685,,summer,df,,"standing, grazing",no,4,cows,4,0,0,,,,26,
30,6/22/2000,10:01:00 AM,Air,DC,SE,,,,N fork Otter Ck,Yes,537007,4949520,,summer,lp,,standing,N/A,1,alone,1,0,0,0,,,30,
35,6/22/2000,8:34:00 AM,Air,DC,SE,,,,upper Hellroaring,Yes,548756,4998898,,summer,rw,,"standing, grazing, bedded",no,28,cows,28,0,0,,y3,"w/ 219.440, 219.980; in creek",35,
37,6/22/2000,10:51:00 AM,Air,DC,SE,,,,E of Hummingbird Pk,Yes,556415,4995788,,summer,"bdt, rky",not recorded,walking,no,7,cows,7,0,0,0,,,37,
39,6/22/2000,11:23:00 AM,Air,DC,SE,,,,Blacktail Deer Ck,Yes,532108,4977503,,summer,"shr, bdt",not recorded,bedded,no,1,alone,1,0,0,0,,,39,
40,6/22/2000,8:56:00 AM,Air,DC,SE,,,,Grassy Ck,Yes,558839,4988403,,summer,"df, dead wbp",,grazing,no,1,alone,1,0,0,0,,,40,
41,6/22/2000,8:34:00 AM,Air,DC,SE,,,,upper Hellroaring,Yes,548756,4998898,,summer,rw,,"standing, grazing, bedded",N/A,28,cows,28,0,0,,y3,"w/ 219.440, 219.820; in creek",41,
7,6/23/2000,8:21:00 AM,Air,DC,JM,,,,Fawn Creek,Yes,510255,4974386,,summer,"gr, bdt, shr",not recorded,bedded,no,3,cows,3,0,0,,,,7,
10,6/23/2000,9:02:00 AM,Air,DC,JM,,,,S. face of Mt. Holmes,Yes,512411,4961435,,summer,"gr, shr, rky",,grazing,no,10,cows,10,0,0,0,,,10,
13,6/23/2000,8:48:00 AM,Air,DC,JM,,,,top of Quadrant Mt.,Yes,511201,4972716,,summer,gr,,walking,no,1,alone,1,0,0,0,,,13,
15,6/23/2000,8:34:00 AM,Air,DC,JM,,,,Fawn Creek,Yes,510408,4975563,,summer,gr,,"standing, spooked",no,21,"15 cows, 6 calves",15,6,0,,,near small creek,15,
17,6/23/2000,8:11:00 AM,Air,DC,JM,,,,top of Little Quadrant,Yes,512013,4977566,,summer,gr,,standing,no,4,"2 cows, 2 bulls",2,0,2,,,,17,
23,6/23/2000,12:45:00 PM,Air,DC,SE,,,,Cache Creek,Yes,581702,4975994,,summer,"bdt, rw",not recorded,bedded,no,3,cows,3,,,,,,23,
29,6/23/2000,12:16:00 PM,Air,DC,SE,,,,Mist Creek,Yes,568924,4939843,,summer,bdt,not recorded,standing,no,3,cows,3,,,,,,29,
32,6/23/2000,1:36:00 PM,Air,DC,SE,,,,upper Slough Creek,Yes,566699,4994479,,summer,"bdt, rw",not recorded,"standing, looking at us",no,1,alone,1,,,,,,32,
33,6/23/2000,12:04:00 PM,Air,DC,SE,,,,Mist Creek,Yes,566306,4934794,,summer,bdt,not recorded,bedded,no,3,cows,3,,,,,,33,
34,6/23/2000,11:14:00 AM,Air,DC,SE,,,,Cold Creek,Yes,571302,4940774,,summer,bdt,,standing,no,24,cows,24,,,,,,34,
44,6/23/2000,1:22:00 PM,Air,DC,SE,,,,Boulder R,Yes,563432,5008249,,summer,df,,walking,no,3,"2 cows, 1 calf",2,1,,,,,44,
45,6/23/2000,11:23:00 AM,Air,DC,SE,,,,Cold Creek,Yes,575532,4942558,,summer,bdt,not recorded,bedded,no,4,cows,4,,,,,,45,
18,6/26/2000,2:32:00 PM,Air,DC,SE,,,,Lewis/Shoshone Lakes,Yes,531629,4911717,,summer,"bdt, lp",not recorded,not recorded,no,4,cows,4,,,,,,18,
22,6/26/2000,2:25:00 PM,Air,DC,SE,,,,NE Lewis Lake,Yes,531792,4908800,,summer,bdt,not recorded,not recorded,yes,12,c/c,Yes,Yes,,,,,22,
27,6/26/2000,1:57:00 PM,Air,DC,SE,,,,Chicken Ridge,Yes,551307,4907052,,summer,bdt,not recorded,not recorded,yes,26,"cow, calf",Yes,Yes,,,,,27,
42,6/26/2000,2:09:00 PM,Air,DC,SE,,,,Flat Mt.,Yes,545163,4909906,,summer,bdt,not recorded,not recorded,no,8,cows,8,,,,,,42,
43,6/26/2000,12:17:00 PM,Air,DC,SE,,,,Mt. Everts,Yes,527976,4980835,,summer,shr,,not recorded,n/a,103,"cow, calf, bull",Yes,Yes,Yes,Yes,,with yearling,43,
1,6/27/2000,11:47:00 AM,Air,DC,JM,,,,SE of Quadrant,No,514907,4971571,,summer,df,,unknown,N/A,>=3,see comment,2,1,,,,"at least 1 calf, 2 cows",1,
8,6/27/2000,12:04:00 PM,Air,DC,JM,,,,E of Dome Mtn,No,514880,4964984,,summer,bdt,not recorded,unknown,unk,15,cows,15,,,,,,8,
10,6/27/2000,11:33:00 AM,Air,DC,JM,,,,E side Antler,Yes,513810,4968245,,summer,"gr, rky",,standing,no,21,cows,21,,,,,,10,
11,6/27/2000,9:53:00 AM,Air,DC,JM,,,,Norris,Yes,522141,4952505,,summer,"gr, bdt",not recorded,"standing, nursing calf",yes,11,"8 cows, 3 calves",8,3,,,,nursing,11,
12,6/27/2000,10:01:00 AM,Air,DC,JM,,,,Norris,Yes,522173,4952323,,summer,bdt,not recorded,standing,no,1,cow,1,,,,,alone,12,
28,6/27/2000,10:31:00 AM,Air,DC,JM,,,,Bridge Bay,No,543860,4931426,,summer,,,unknown,unk,unknown,unknown,Yes,,,,,,28,
2,6/28/2000,8:11:00 AM,Air,DC,SE,,,,SW of Griz Lk,Yes,515077,4959880,,summer,bdt,not recorded,standing,no,5,cows,5,,,,,,2,
3,6/28/2000,8:23:00 AM,Air,DC,SE,,,,W of Griz Lk,No,516321,4961646,,summer,df,,unknown,yes,3,cows,3,,,,,,3,
4,6/28/2000,8:41:00 AM,Air,DC,SE,,,,SW of Griz Lk,Yes,516492,4959387,,summer,bdt,not recorded,"bedded, then spooked",no,7,cows,7,,,,,,4,
6,6/28/2000,9:33:00 AM,Air,DC,SE,,,,E of Obsidian,Yes,523445,4972146,,summer,bdt,not recorded,looking @ us,no,17,cow/calf,Yes,Yes,,,,,6,
7,6/28/2000,10:18:00 AM,Air,DC,SE,,,,Fawn Ck,Yes,510875,4974790,,summer,rw,,bedded,unk,22,14 cows/8 calves,14,8,,,,,7,
9,6/28/2000,11:23:00 AM,Air,DC,SE,,,,Floating Island Lk,No,542752,4976806,,summer,df,,unknown,unk,unknown,unknown,Yes,,,,,,9,
13,6/28/2000,10:29:00 AM,Air,DC,SE,,,,W of Quadrant,Yes,510445,4973002,,summer,gr,,grazing,no,8,2 cows/6 bulls,2,,6,,,standing with 1 bull,13,
15,6/28/2000,10:18:00 AM,Air,DC,SE,,,,Fawn Ck,Yes,510875,4974790,,summer,rw,,standing,unk,22,14 cows/8 calves,14,8,,,,,15,
16,6/28/2000,7:51:00 AM,Air,DC,SE,,,,Quadrant,Yes,513809,4973163,,summer,gr,,"bedded, then spooked",yes,34,cow/bull,Yes,,Yes,,,,16,
17,6/28/2000,9:50:00 AM,Air,DC,SE,,,,Fawn Ck,No,514149,4978309,,summer,df,,unknown,unk,5,cow/bull,Yes,,Yes,,,,17,
19,6/28/2000,8:50:00 AM,Air,DC,SE,,,,Panther,No,513165,4971246,,summer,df,,unknown,unk,31,cow/calf,Yes,Yes,,,,,19,
20,6/28/2000,9:58:00 AM,Air,DC,SE,,,,Fawn Ck,Yes,515495,4979171,,summer,df,,grazing,no,2,1 cow/1 yearling,1,,,,,with her yearling,20,
24,6/28/2000,9:17:00 AM,Air,DC,SE,,,,E of Obsidian,Yes,524072,4972279,,summer,bdt,not recorded,looking @ us,no,27,cow/calf,Yes,Yes,,,,,24,
35,6/28/2000,11:07:00 AM,Air,DC,SE,,,,Coyote Ck,Yes,547449,4984739,,summer,df,,"bedded, then stood up",no,17,14 cows/3 calves,14,3,,,,,35,
39,6/28/2000,10:49:00 AM,Air,DC,SE,,,,Blacktail Deer Ck,Yes,533797,4977170,,summer,df,,standing,yes,7,4 cows/3 calves,4,3,,,,calves in a nursery,39,
21,6/30/2000,11:09:00 AM,Air,DC,JM,,,,Bear Lake,Yes,565723,4953729,,summer,"bdt, sw",not recorded,trotting into pond,N/A,6,cows,6,,,,,,21,
23,6/30/2000,11:28:00 AM,Air,DC,JM,,,,Upper Cache Ck.,Yes,580959,4978420,,summer,bdt,gr,standing,no,16,cows,16,,,,,veg very sparse; next to no green,23,
25,6/30/2000,9:21:00 AM,Air,DC,JM,,,,Middle Ridge,Yes,550906,5002587,,summer,gr,,standing,yes,4,cows,4,,,,,,25,
26,6/30/2000,9:29:00 AM,Air,DC,JM,,,,upper Hellroaring,No,551451,4996811,,summer,bdt,not recorded,probably bedded,unk,20,cows,20,,,,,"no visual on collar, but probably in group; in burned area w/ little cover, so all animals were likely seen",26,
31,6/30/2000,10:04:00 AM,Air,DC,JM,,,,Anderson Mt. (Buffalo Plat.),Yes,553267,4981404,,summer,"wet, rw",,"bedded, then stood, almost spooked",no,15,cows,15,,,,,,31,
32,6/30/2000,10:40:00 AM,Air,DC,JM,,,,Slough Creek,Yes,566425,4994267,,summer,bdt,not recorded,standing,yes,2,w/ calf,1,1,,,,,32,
37,6/30/2000,9:44:00 AM,Air,DC,JM,,,,upper Hellroaring,Yes,556472,4994708,,summer,bdt,not recorded,standing,no,9,cows,9,,,,,,37,
40,6/30/2000,9:52:00 AM,Air,DC,JM,,,,Anderson Ridge,Yes,560069,4989609,,summer,gr,,standing,no,17,cows,17,,,,,,40,
41,6/30/2000,9:11:00 AM,Air,DC,JM,,,,upper Hellroaring,Yes,551981,4995458,,summer,"bdt, gr",gr,standing,N/A,4,cows (maybe 1 yearling),3,,,1,,,41,
44,6/30/2000,10:24:00 AM,Air,DC,JM,,,,N of Haystack Pk,No,562947,5006242,,summer,"gr, df, spruce?",,unknown,yes,>=5,cows,Yes,,,,,at least 5 cows in group; too bumpy to fly low for good visual,44,
14,7/3/2000,10:36:00 AM,Air,DC,SE,,,,W. face of Red Mountain,Yes,530718,4902004,,summer,bdt,not recorded,looking @ us,no,7,cows,7,,,,,missing for a while; first location,14,
18,7/3/2000,10:43:00 AM,Air,DC,SE,,,,N. of Lewis Lake,Yes,531675,4910615,,summer,bdt,not recorded,bedded,no,4,cows,4,,,,,,18,
22,7/3/2000,10:51:00 AM,Air,DC,SE,,,,E. of Lewis Lake,Yes,532613,4904752,,summer,bdt,not recorded,spooked,yes,24,24 cow/calf group,Yes,Yes,,,,standing next to calf at the edge of the meadow,22,
27,7/3/2000,10:09:00 AM,Air,DC,SE,,,,Chicken Ridge,Yes,550939,4904719,,summer,bdt,not recorded,"standing, then look at us",yes,50,9 cows/15 calves + other grp,Yes,Yes,,,,very near group of 26 cows and calves,27,
28,7/3/2000,11:08:00 AM,Air,DC,SE,,,,S. of Bridge Creek,Yes,542856,4928194,,summer,lp,,spooked-ran,no,1,cow,1,,,,,,28,
29,7/3/2000,9:16:00 AM,Air,DC,SE,,,,Mist Creek,Yes,569889,4940473,,summer,bdt,not recorded,"bed, then stood and spooked",no,30,26 cows/4 calves,26,4,,,,calves in a nursery,29,
30,7/3/2000,8:37:00 AM,Air,DC,SE,,,,S.E. of Grebe Lake,Yes,535189,4953705,,summer,"bdt,lp",not recorded,"standing, then spooked",N/A,2,cows,2,,,,,2.4 mi. from last location,30,
33,7/3/2000,9:05:00 AM,Air,DC,SE,,,,N.E. face of Mt. Chittenden,No,566300,4934258,,summer,bdt,not recorded,bedded,no,3,cows,3,,,,,"no visual on collared animal, but very likely in this group according to signal",33,
34,7/3/2000,9:18:00 AM,Air,DC,SE,,,,Mist Creek,Yes,569667,4940626,,summer,bdt,not recorded,walking,unk,4,3 cows/1 calf,3,1,,,,near group of 5 cows; calf was standing next to her; could be hers,34,
42,7/3/2000,10:17:00 AM,Air,DC,SE,,,,Flat Mountain,Yes,546095,4909709,,summer,bdt,not recorded,looking @ us,unk,83,cow/calf,Yes,Yes,,,,calves in a huge nursery,42,
45,7/3/2000,9:39:00 AM,Air,DC,SE,,,,near Cold Creek,Yes,578452,4942265,,summer,rw,,bedded,no,13,11 cows/2 calves,11,2,,,,1.5 mi from last location,45,
1,7/7/2000,10:48:00 AM,Air,DC,SE,,,,S.E. of Mt. Holmes,Yes,515186,4962856,,summer,"bdt, lp",not recorded,running-was spooked,N/A,7,cows,7,,,,,,1,
3,7/7/2000,10:18:00 AM,Air,DC,SE,,,,S. of Mt. Holmes,Yes,512965,4960591,,summer,bdt,not recorded,bedded,yes,~100,cow/calf group,Yes,Yes,,,,had a calf bedded next to her,3,
4,7/7/2000,10:12:00 AM,Air,DC,SE,,,,S.E. of Grizzly Lake,Yes,516911,4961289,,summer,"bdt, oth (regrowth)",unspecified,bedded,no,7,cows,7,,,,,,4,
6,7/7/2000,12:00:00 PM,Air,DC,SE,,,,E. of Bunsen Peak,Yes,526762,4973869,,summer,edge of sf & gr,,bedded,no,37,cow/calf group,Yes,Yes,,,,calves were in a nursery,6,
7,7/7/2000,8:48:00 AM,Air,DC,SE,,,,Quadrant,Yes,513888,4972946,,summer,gr,,bedded,no,41,26 cows/11 calves/4 bulls,26,11,4,,y2,"Probable collar failure;  saw collar, but received no signal; W/ 220.220 in last location & 220.220 was present this time as well",7,
8,7/7/2000,10:35:00 AM,Air,DC,SE,,,,S. of Mt. Holmes,Yes,512986,4960153,,summer,bdt,not recorded,walking,unk,~100,cow/calf/bull,Yes,Yes,Yes,,,,8,
10,7/7/2000,11:20:00 AM,Air,DC,SE,,,,Head of Maple Creek,Yes,510791,4959046,,summer,"bdt, gr",not recorded,walking,no,2,1 cow/1 yearling cow,1,,,1,,possible her yearling,10,
11,7/7/2000,11:05:00 AM,Air,DC,SE,,,,Norris,Yes,521052,4952214,,summer,"bdt, oth (regrowth)",unspecified,bedded,yes,13,7 cows/6 calves,7,6,,,,,11,
12,7/7/2000,9:28:00 AM,Air,DC,SE,,,,Dome Mountain,Yes,513999,4965786,,summer,bdt*,tree,bedded,unk,13,cows,13,,,,,*some in gr; others in regrowth lp;,12,
15,7/7/2000,8:48:00 AM,Air,DC,SE,,,,Quadrant,Yes,513888,4972946,,summer,gr,,bedded,no,41,26 cows/11 calves/4 bulls,26,11,4,,y2,~.5km away from ~11 cow/bull group and ~1km away from group of ~60 cow/calf/bull,15,
16,7/7/2000,9:00:00 AM,Air,DC,SE,,,,Quadrant,Yes,511819,4973405,,summer,gr,,"bedded, then stood",yes,3,1 cow/2 bulls,1,,2,,,near group of ~100 cow/calf/bull,16,
17,7/7/2000,8:24:00 AM,Air,DC,SE,,,,Fawn Pass,Yes,509340,4973912,,summer,"bdt, sf",not recorded,stand; look @ us,no,26,1 bull/6 calves/19 cows,19,6,1,,,,17,
19,7/7/2000,9:11:00 AM,Air,DC,SE,,,,Antler Peak,Yes,510087,4967691,,summer,gr,,stand; look @ us,no,11,cows,11,,,,,near sf trees (some elk in group in sf),19,
20,7/7/2000,8:35:00 AM,Air,DC,SE,,,,Fawn Pass,No,509307,4973710,,summer,"bdt, sf",not recorded,unknown,yes,~50,cow/calf group,Yes,Yes,,,,in the trees,20,
24,7/7/2000,9:47:00 AM,Air,DC,SE,,,,E. of Obsidian Creek,Yes,523505,4968342,,summer,"bdt, oth (regrowth lp)",tree,standing,no,24,23 cows/1 calf,23,1,,,,spooked 'em,24,
43,7/7/2000,11:50:00 AM,Air,DC,SE,,,,W. of Lava Creek,Yes,527005,4975997,,summer,"bdt, sf",not recorded,grazing,N/A,38,cow/calf group,Yes,Yes,,,,,43,
2,7/10/2000,8:33:00 AM,Air,DC,JM,,,,S. of Mt. Holmes,Yes,512829,4959549,,summer,"gr, bdt",gr,bedded,no,25,17 cows/8 calves,17,8,,,,not much tree regrowth (prob. soil burned hot),2,
9,7/10/2000,11:52:00 AM,Air,DC,JM,,,,E. Blacktail,Yes,538581,4973404,,summer,"gr, bdt",not recorded,*standing,no,6,cows,6,,,,y2,*with 219.940,9,
23,7/10/2000,9:37:00 AM,Air,DC,JM,,,,Upper Cache Ck.,Yes,580482,4979454,,summer,bdt,not recorded,standing,no,4,cows,4,,,,,,23,
25,7/10/2000,10:27:00 AM,Air,DC,JM,,,,Middle Ridge,No,550935,5002853,,summer,"gr, conifer(spruce?)",,trotting,yes,1,alone,1,,,,,could be hiding calf? (was alone with calf last time),25,
26,7/10/2000,10:46:00 AM,Air,DC,JM,,,,E. fork of Hellroaring Ck.,Yes,551927,4995584,,summer,"gr, bdt",not recorded,* grazing or walking,no,50,cow/calf group,Yes,Yes,,,y3,"*3 collars in same group (w/ 219.980, 219.820). Saw 2 grazing at time of waypoint (50-100 m apart). Returned to group at 11:40, saw 1 (walking) w/ collar [tracking 219.820, but could be any 1 of 3]. Stopped flying over group b/c elk began spooking.",26,
30,7/10/2000,9:08:00 AM,Air,DC,JM,,,,E. of Violet Springs,Yes,535724,4945270,,summer,bdt,,standing,N/A,5,cows,5,,,,,,30,
31,7/10/2000,11:16:00 AM,Air,DC,JM,,,,W. of Buffalo Ck.,Yes,555316,4991942,,summer,wet,,bedded,no,16,cows,16,,,,,,31,
32,7/10/2000,9:58:00 AM,Air,DC,JM,,,,W. of Frenchy Meadow,Yes,564499,4992417,,summer,bdt,not recorded,standing,yes,60,~50 cows/~10 calves,50,10,,,,light-colored coat,32,
35,7/10/2000,10:46:00 AM,Air,DC,JM,,,,E. fork of Hellroaring Ck.,Yes,551927,4995584,,summer,"gr, bdt",not recorded,* grazing or walking,no,50,cow/calf group,Yes,Yes,,,y3,"*3 collars in same group (w/ 219.560, 219.980). Saw 2 grazing at time of waypoint (50-100 m apart). Returned to group at 11:40, saw 1 (walking) w/ collar [tracking 219.820, but could be any 1 of 3]. Stopped flying over group b/c elk began spooking.",35,
37,7/10/2000,10:37:00 AM,Air,DC,JM,,,,Buffalo Ck./Telephone Basin,Yes,556659,4993327,,summer,"gr, bdt",not recorded,standing,no,9,cows,9,,,,,,37,
39,7/10/2000,11:52:00 AM,Air,DC,JM,,,,E. Blacktail,Yes,538581,4973404,,summer,"gr, bdt",not recorded,*standing,yes,6,cows,6,,,,y2,*with 220.080,39,
40,7/10/2000,11:03:00 AM,Air,DC,JM,,,,NW of Silvertip Ranch,Yes,562251,4990282,,summer,"gr, bdt",not recorded,bedded,no,80,cow/calf group,Yes,Yes,,,,,40,
41,7/10/2000,10:46:00 AM,Air,DC,JM,,,,E. fork of Hellroaring Ck.,Yes,551927,4995584,,summer,"gr, bdt",not recorded,* grazing or walking,N/A,50,cow/calf group,Yes,Yes,,,y3,"*3 collars in same group (w/ 219.560, 219.820). Saw 2 grazing at time of waypoint (50-100 m apart). Returned to group at 11:40, saw 1 (walking) w/ collar [tracking 219.820, but could be any 1 of 3]. Stopped flying over group b/c elk began spooking.",41,
44,7/10/2000,10:13:00 AM,Air,DC,JM,,,,Boulder River,Yes,565231,5006564,,summer,"gr, rky",,standing,yes,13,cows,13,,,,,,44,
13,7/11/2000,11:10:00 AM,Air,DC,SE,,,,Fawn Creek,Yes,510131,4975618,,summer,gr,,stand & look @ us,unk,300+,cow/calf,Yes,Yes,,,,too big to count!,13,
14,7/11/2000,10:03:00 AM,Air,DC,SE,,,,E. of Lewis Falls,Yes,529985,4900664,,summer,bdt,not recorded,stand & graze,no,12,9 cows/3 calves,9,3,,,,,14,
18,7/11/2000,10:21:00 AM,Air,DC,SE,,,,N. of Lewis Lake,Yes,531452,4910578,,summer,bdt,not recorded,stand & graze,no,12,cows,12,,,,,,18,
21,7/11/2000,8:13:00 AM,Air,DC,SE,,,,Mirror Plateau,Yes,567488,4954727,,summer,bdt,not recorded,standing,N/A,2,cows,2,,,,,"looked like she was with a calf on first circle, but subsequent circles, couldn't see one",21,
22,7/11/2000,10:13:00 AM,Air,DC,SE,,,,E. of Lewis Lake,Yes,531692,4903924,,summer,bdt,not recorded,walking towards rest of group,yes,8,"5 cows, 3 calves",5,3,,,,,22,
27,7/11/2000,9:35:00 AM,Air,DC,SE,,,,Chicken Ridge,Yes,551346,4906307,,summer,bdt,not recorded,stand & look at us,yes,12+,"5+ cows, 7+ calves",Yes,Yes,,,,near other spread out group--couldn't get count on other group,27,
28,7/11/2000,10:34:00 AM,Air,DC,SE,,,,Weasel Creek,Yes,544500,4926983,,summer,lp,,stand,no,1,cow,1,,,,,,28,
29,7/11/2000,8:58:00 AM,Air,DC,SE,,,,"near Frost Lake, small drainage off Cold Creek",Yes,576293,4942976,,summer,"bdt, gr",not recorded,running,no,36,"32 cows, 3 calves, 1 bull",32,3,1,,,spooked them and they started running down the ridge,29,
33,7/11/2000,9:08:00 AM,Air,DC,SE,,,,S. of Mist Creek,Yes,568119,4937469,,summer,bdt,not recorded,bedded,no,10,"8 cows, 2 calves",8,2,,,,,33,
34,7/11/2000,8:44:00 AM,Air,DC,SE,,,,Cold Creek,Yes,573746,4941933,,summer,bdt,not recorded,*walking,no,19,"15 cows, 4 calves",15,4,,,,*close to 220.300,34,
42,7/11/2000,9:45:00 AM,Air,DC,SE,,,,Flat Mountain,Yes,545408,4909188,,summer,gr,,stand & look @ us,no,15,13 cows/2 calves,13,2,,,,,42,
45,7/11/2000,8:40:00 AM,Air,DC,SE,,,,Cold Creek,Yes,573475,4941639,,summer,bdt,not recorded,*stand,no,3-4,cows,4,,,,,*close to 219.780,45,
11,7/27/2000,11:36:00 AM,Air,DC,SE,,,,E. Grizzly Lk.,Yes,519280,4961002,,summer,bdt,not recorded,bedded,yes,17,"14 cows, 3 calves",14,3,,,,,11,
14,7/27/2000,10:16:00 AM,Air,DC,SE,,,,SW Lewis Lk.,Yes,525890,4901992,,summer,bdt,not recorded,standing,no,11,"9 cows, 2 calves",9,2,,,,,14,
18,7/27/2000,10:43:00 AM,Air,DC,SE,,,,N. of Lewis Lk.,Yes,531212,4909772,,summer,"gr, rw",,bedded,no,4,cows,4,,,,,,18,
21,7/27/2000,8:18:00 AM,Air,DC,SE,,,,Clover Ck.,Yes,567766,4956672,,summer,bdt,not recorded,running,N/A,8,"7 cows, 1 calf",7,1,,,,spooked her,21,
22,7/27/2000,10:36:00 AM,Air,DC,SE,,,,E. of Lewis Lk.,Yes,534414,4906803,,summer,"gr, lp edge",,bedded,yes,10,"6 cows, 4 calves",6,4,,,,calves in nursery,22,
27,7/27/2000,9:44:00 AM,Air,DC,SE,,,,Chicken Ridge,No,550182,4903345,,summer,bdt,not recorded,"unknown, no visual",yes,>7,"5 cows, 2 calves + more",5,2,,,,"in trees, definitely more animals",27,
28,7/27/2000,10:57:00 AM,Air,DC,SE,,,,Bridge Ck.,Yes,541773,4929026,,summer,lp,,bedded,no,1,alone,1,,,,,in trees,28,
29,7/27/2000,8:33:00 AM,Air,DC,SE,,,,Cold Ck.,No,576237,4941794,,summer,bdt,not recorded,"unknown, no visual",unk,30+,cow/calf,Yes,Yes,,,,maybe more,29,
30,7/27/2000,11:14:00 AM,Air,DC,SE,,,,Grebe Lk.,Yes,534938,4956717,,summer,not recorded,,standing,N/A,10,cows,10,,,,,,30,
33,7/27/2000,9:15:00 AM,Air,DC,SE,,,,not recorded,Yes,566050,4935036,,summer,bdt,not recorded,grazing,unk,>40,cow/calf,Yes,Yes,,,,>=10 calves,33,
34,7/27/2000,8:33:00 AM,Air,DC,SE,,,,Cold Ck.,No,576237,4941794,,summer,bdt,not recorded,"unknown, no visual",unk,30+,cow/calf,Yes,Yes,,,,definitely more cow/calf,34,
42,7/27/2000,10:00:00 AM,Air,DC,SE,,,,Flat Mtn.,Yes,545603,4908017,,summer,bdt,not recorded,ran into lodgepole,no,1,alone,1,,,,,,42,
45,7/27/2000,8:50:00 AM,Air,DC,SE,,,,Cold Ck.,Yes,576113,4940983,,summer,gr,,bedded,unk,13,"11 cows, 2 calves",11,2,,,,calves by themselves,45,
1,8/2/2000,8:26:00 AM,Air,DC,JM,,,,Panther Ck.,Yes,510971,4969278,,summer,"sf, edge of bdt",,*bedded,N/A,>50,cow/calf,Yes,Yes,,,y2,*very scattered group; same large group as 220.060 (~100-200 m apart); near group w/ 220.140,1,
2,8/2/2000,7:44:00 AM,Air,DC,JM,,,,S. side Mt. Holmes,Yes,511279,4961895,,summer,"bdt, rky",not recorded,standing,no,7,"5 cows, 2 bulls",5,0,2,,,,2,
3,8/2/2000,7:28:00 AM,Air,DC,JM,,,,S. side Dome Mtn.,Yes,512131,4964359,,summer,"sf, gr",,standing,unk,5,cows,5,,,,,,3,
4,8/2/2000,7:18:00 AM,Air,DC,JM,,,,N. of Grizzly Lk.,Yes,517188,4965870,,summer,"bdt, lp regrowth",tree,walking,no,1,alone,1,,,,,,4,
