ID,harvestyear,ageatharvest,age,pregnant_code,cementum,winter_start,winter_end,NR_wolf_t,YNP_FWP,YNP_precip_May-July,NR_wolf_t-1,NR_elk,YNP_wolf_t,YNP_wolf_t-1,NR_kElk,NR_elk_t-1,wolfelkratio_NR,PDSI_Jan-Dec,AccSWE_NR,PDSI_May-July,wolfelkratio_YNP,AccSWE_NR_t-1,CASA_NR,SWEmax_NR_t-1,elkgroupsize,YNPprecip_May-June,CASA_Central,SWEmax_NR,CASA_Park
1,2009,2,2.5,1,yes,2008,2009,56,FWP,219.202,94,7109,124,171,7.109,6279,0.787733858489239,-3.55166666666667,19.8745706669103,-2.88666666666667,1.74426782951189,23.7493040093999,488.058044133914,112.606666666667,11.4623115577889,209.70875,463.239001454031,95.6733333333333,474.555899902392
2,2009,2,2.5,0,yes,2008,2009,56,FWP,219.202,94,7109,124,171,7.109,6279,0.787733858489239,-3.55166666666667,19.8745706669103,-2.88666666666667,1.74426782951189,23.7493040093999,488.058044133914,112.606666666667,11.4623115577889,209.70875,463.239001454031,95.6733333333333,474.555899902392
3,2009,2,2.5,0,yes,2008,2009,56,FWP,219.202,94,7109,124,171,7.109,6279,0.787733858489239,-3.55166666666667,19.8745706669103,-2.88666666666667,1.74426782951189,23.7493040093999,488.058044133914,112.606666666667,11.4623115577889,209.70875,463.239001454031,95.6733333333333,474.555899902392
4,2009,3,3.5,1,yes,2008,2009,56,FWP,219.202,94,7109,124,171,7.109,6279,0.787733858489239,-3.55166666666667,19.8745706669103,-2.88666666666667,1.74426782951189,23.7493040093999,488.058044133914,112.606666666667,11.4623115577889,209.70875,463.239001454031,95.6733333333333,474.555899902392
5,2009,3,3.5,1,yes,2008,2009,56,FWP,219.202,94,7109,124,171,7.109,6279,0.787733858489239,-3.55166666666667,19.8745706669103,-2.88666666666667,1.74426782951189,23.7493040093999,488.058044133914,112.606666666667,11.4623115577889,209.70875,463.239001454031,95.6733333333333,474.555899902392
6,2009,3,3.5,1,yes,2008,2009,56,FWP,219.202,94,7109,124,171,7.109,6279,0.787733858489239,-3.55166666666667,19.8745706669103,-2.88666666666667,1.74426782951189,23.7493040093999,488.058044133914,112.606666666667,11.4623115577889,209.70875,463.239001454031,95.6733333333333,474.555899902392
7,2009,3,3.5,0,yes,2008,2009,56,FWP,219.202,94,7109,124,171,7.109,6279,0.787733858489239,-3.55166666666667,19.8745706669103,-2.88666666666667,1.74426782951189,23.7493040093999,488.058044133914,112.606666666667,11.4623115577889,209.70875,463.239001454031,95.6733333333333,474.555899902392
8,2009,4,4.5,1,yes,2008,2009,56,FWP,219.202,94,7109,124,171,7.109,6279,0.787733858489239,-3.55166666666667,19.8745706669103,-2.88666666666667,1.74426782951189,23.7493040093999,488.058044133914,112.606666666667,11.4623115577889,209.70875,463.239001454031,95.6733333333333,474.555899902392
9,2009,4,4.5,1,yes,2008,2009,56,FWP,219.202,94,7109,124,171,7.109,6279,0.787733858489239,-3.55166666666667,19.8745706669103,-2.88666666666667,1.74426782951189,23.7493040093999,488.058044133914,112.606666666667,11.4623115577889,209.70875,463.239001454031,95.6733333333333,474.555899902392
10,2009,4,4.5,1,yes,2008,2009,56,FWP,219.202,94,7109,124,171,7.109,6279,0.787733858489239,-3.55166666666667,19.8745706669103,-2.88666666666667,1.74426782951189,23.7493040093999,488.058044133914,112.606666666667,11.4623115577889,209.70875,463.239001454031,95.6733333333333,474.555899902392
11,2009,4,4.5,1,yes,2008,2009,56,FWP,219.202,94,7109,124,171,7.109,6279,0.787733858489239,-3.55166666666667,19.8745706669103,-2.88666666666667,1.74426782951189,23.7493040093999,488.058044133914,112.606666666667,11.4623115577889,209.70875,463.239001454031,95.6733333333333,474.555899902392
12,2009,4,4.5,1,yes,2008,2009,56,FWP,219.202,94,7109,124,171,7.109,6279,0.787733858489239,-3.55166666666667,19.8745706669103,-2.88666666666667,1.74426782951189,23.7493040093999,488.058044133914,112.606666666667,11.4623115577889,209.70875,463.239001454031,95.6733333333333,474.555899902392
13,2009,4,4.5,1,yes,2008,2009,56,FWP,219.202,94,7109,124,171,7.109,6279,0.787733858489239,-3.55166666666667,19.8745706669103,-2.88666666666667,1.74426782951189,23.7493040093999,488.058044133914,112.606666666667,11.4623115577889,209.70875,463.239001454031,95.6733333333333,474.555899902392
14,2009,4,4.5,1,yes,2008,2009,56,FWP,219.202,94,7109,124,171,7.109,6279,0.787733858489239,-3.55166666666667,19.8745706669103,-2.88666666666667,1.74426782951189,23.7493040093999,488.058044133914,112.606666666667,11.4623115577889,209.70875,463.239001454031,95.6733333333333,474.555899902392
15,2009,5,5.5,1,yes,2008,2009,56,FWP,219.202,94,7109,124,171,7.109,6279,0.787733858489239,-3.55166666666667,19.8745706669103,-2.88666666666667,1.74426782951189,23.7493040093999,488.058044133914,112.606666666667,11.4623115577889,209.70875,463.239001454031,95.6733333333333,474.555899902392
16,2009,5,5.5,1,yes,2008,2009,56,FWP,219.202,94,7109,124,171,7.109,6279,0.787733858489239,-3.55166666666667,19.8745706669103,-2.88666666666667,1.74426782951189,23.7493040093999,488.058044133914,112.606666666667,11.4623115577889,209.70875,463.239001454031,95.6733333333333,474.555899902392
17,2009,5,5.5,1,yes,2008,2009,56,FWP,219.202,94,7109,124,171,7.109,6279,0.787733858489239,-3.55166666666667,19.8745706669103,-2.88666666666667,1.74426782951189,23.7493040093999,488.058044133914,112.606666666667,11.4623115577889,209.70875,463.239001454031,95.6733333333333,474.555899902392
